Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Executive Engineer,Karchham Division HP.PWD Bhabanagar,"2,000",EE Bhabanagar,Bhabanagar/Sungra,No,1.0,DD - Demand Draft,PWD,BHNR -EA-Tender/2021-22- 1127-33 dated 14.06.2021,2021_PWD_48698_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,21-Jun-2021 10:00 AM,28-Jun-2021 11:00 AM,21-Jun-2021 10:30 AM,26-Jun-2021 06:55 PM,NA ,NA ,21-Jun-2021 10:30 AM,26-Jun-2021 06:55 PM,30-Jun-2021 02:50 PM,"83,520",No,fixed,,EE Bhabanagar,Bhabanagar/Sungra,Periodical maintenance of Wangtoo Kafnoo road under Annual Maintenance plan for the year 2021.22 SH. Providing and laying 20mm thick premix carpet and seal coat in km 4.0 to 5.0 12.0 to 13.0 16.0 to 17.0 and 17.0 to 18.0,Periodical maintenance of Wangtoo Kafnoo road under Annual Maintenance plan for the year 2021.22 SH. Providing and laying 20mm thick premix carpet and seal coat in km 4.0 to 5.0 12.0 to 13.0 16.0 to 17.0 and 17.0 to 18.0,Please refer Tender documents. ,NA ,"51,02,078",Civil Works - Roads,NA ,Tender,120.0,90.0,Wangtoo,172115.0,NA ,NA ,NA ,BHabanagar,No ,No,AOC,PWD,2021_PWD_48698_1,BHNR -EA-Tender/2021-22- 1127-33 dated 14.06.2021,Periodical maintenance of Wangtoo Kafnoo road under Annual Maintenance plan for the year 2021.22 SH. Providing and laying 20mm thick premix carpet and seal coat in km 4.0 to 5.0 12.0 to 13.0 16.0 to 17.0 and 17.0 to 18.0,Er. Rahul Sood XEN,Internal,HDM DAO Supdt. Gr-II,Rahul Sood,30-Jun-2021 02:43 PM,30-Jun-2021 02:50 PM,techsummary_72986.pdf (173.36 KB),XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Rahul Sood,10-Aug-2021 10:44 AM,finsummary_72986.pdf (173.36 KB),10-Aug-2021,"INR 5,102,078",90.0,Rahul Sood,10-Aug-2021 10:50 AM,Ripanawarded.pdf (234.00 KB),1.0,219465.0,RIPAN KUMAR,25-Jun-2021 06:56 PM,Accepted-AOC,awarded,10-Aug-2021 10:50 AM,Technical,opening summary,Rahul Sood,30-Jun-2021 02:36 PM,technical_72986.pdf,Finance,summary,Rahul Sood,30-Jun-2021 03:07 PM,finance_72986.pdf,BOQ Comparative Chart,1.0,219465.0,RIPAN KUMAR,INR,"5,289,825",AOC
,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,219437.0,SUNIL KUMAR VIJ CONTRCATOR,25-Jun-2021 05:48 PM,Rejected-Finance,due to L2,10-Aug-2021 10:44 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant , Technical Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years Turn over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
