Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,FDR - Fixed Deposit,Job 10 Repair work of Regional Hospital Una Sub Head Providing and Fixing aluminum Partition and windows in First floor etc. Deposit work,Job 10 Repair work of Regional Hospital Una Sub Head Providing and Fixing aluminum Partition and windows in First floor etc. Deposit work,Please refer to Bidding Documents ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",12-Jun-2021 11:45 AM,18-Jun-2021 11:00 AM,12-Jun-2021 11:45 AM,18-Jun-2021 09:00 AM,NA ,NA ,12-Jun-2021 11:45 AM,18-Jun-2021 09:00 AM,26-Jun-2021 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"19,485",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,PWD,Job 10 Repair work of Regional Hospital Una Sub He,2021_PWD_48455_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,217247.0,Karnail Singh,INR,"1,476,010",Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,29-Jun-2021 12:43 PM,finance_72633.pdf,BOQ Comparative Chart,1.0,217237.0,Bhisham Kumar,16-Jun-2021 01:54 PM,Rejected-AOC,ok,07-Aug-2021 11:19 AM,Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,19-Jun-2021 06:39 PM,technical_72633.pdf,"Er. Rajesh kumar, E.E.",Internal,"Er. Sunil Kumar. AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Arvind Chaudhary,25-Jun-2021 06:37 PM,26-Jun-2021 03:00 PM,techsummary_72633.pdf (638.50 KB),PWD,2021_PWD_48455_2,Job 10 Repair work of Regional Hospital Una Sub He,Job 10 Repair work of Regional Hospital Una Sub Head Providing and Fixing aluminum Partition and windows in First floor etc. Deposit work,05-Aug-2021,"INR 974,189",60.0,Arvind Chaudhary,07-Aug-2021 11:19 AM,Awardletter.pdf (891.00 KB),Awardletter,"Er. Rajesh Kumar, EE",Internal,"Er. Sunil Kumar. AE, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Jagdeep Singh, Draughtsman Prem Chand, Sr. Assistant",Arvind Chaudhary,29-Jun-2021 06:26 PM,finsummary_72633.pdf (396.58 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,217247.0,Karnail Singh,17-Jun-2021 04:01 PM,Accepted-AOC,ok,07-Aug-2021 11:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,217783.0,MANI GOVT. CONTRACTOR,18-Jun-2021 02:22 AM,Rejected-Technical,As per technical Evaluation Bids,25-Jun-2021 06:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,217782.0,RAMESH KUMAR,18-Jun-2021 05:46 AM,Rejected-Technical,As per technical Evaluations,25-Jun-2021 06:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,217788.0,Varun Puri govt. Contractor,18-Jun-2021 01:38 AM,Rejected-Technical,As per technical Evaluationi Bids,25-Jun-2021 06:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
