Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er.S.P.Dhiman EE,Internal,Supdt. HDM AO,SHASHI PAL,27-May-2021 03:31 PM,finsummary_70059.pdf (417.58 KB),28-Aug-2021,"INR 2,023,211",240.0,SHASHI PAL,28-Aug-2021 12:20 PM,AOCBalh.pdf (900.00 KB),Work Awarded,PWD,2021_PWD_46610_1,No.BGN/2020-21-462-502 dated 12.04.2021Job1,"Construction of Govt. Sr. Sec. School Balh, Tehsil Bangana and Distt. Una Under R.M.S.A.",Er.S.P.Dhiman EE,Internal,Supdt. HDM AO,SHASHI PAL,24-May-2021 05:59 PM,25-May-2021 10:30 AM,techsummary_70059.pdf (445.68 KB),1.0,210718.0,Mohammed Javed,INR,"2,023,211",Finance,Fin. bid opened,SHASHI PAL,27-May-2021 03:26 PM,finance_70059.pdf,BOQ Comparative Chart,Technical,Tech bid opened,SHASHI PAL,24-May-2021 05:56 PM,technical_70059.pdf,1.0,210786.0,Jagdish Ram,03-May-2021 12:06 PM,Rejected-AOC,Higher side,28-Aug-2021 12:20 PM,AOC,PWD,No.BGN/2020-21-462-502 dated 12.04.2021Job1,2021_PWD_46610_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,22-Apr-2021 11:00 AM,04-May-2021 11:00 AM,22-Apr-2021 11:30 AM,03-May-2021 06:00 PM,NA ,NA ,22-Apr-2021 11:30 AM,03-May-2021 06:00 PM,25-May-2021 10:30 AM,1.0,DD - Demand Draft,"33,500",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),500.0,Executive Engineer HPPWD Division Bangana,Bangana,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"Construction of Govt. Sr. Sec. School Balh, Tehsil Bangana and Distt. Una Under R.M.S.A.","C/o Library , Two Class rooms and Computer Room",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,240.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,210718.0,Mohammed Javed,03-May-2021 03:52 PM,Accepted-AOC,Lowest,28-Aug-2021 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,SS - Small Savings Instrument,,,,,,,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,210712.0,Puri & sons construction company,03-May-2021 03:05 PM,Rejected-AOC,Higher side,28-Aug-2021 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,210856.0,Shiv Kumar,03-May-2021 04:27 PM,Rejected-AOC,Higher side,28-Aug-2021 12:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,AOC
