Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
17-Jun-2021 11:00 AM,29-Jun-2021 11:00 AM,17-Jun-2021 11:30 AM,28-Jun-2021 06:00 PM,NA ,NA ,17-Jun-2021 11:30 AM,28-Jun-2021 06:00 PM,19-Jul-2021 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),1.0,ICICI BANK,PWD,No.BGN/2020-21-2229-48 dated 10.06.2021Job4,2021_PWD_48520_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"14,900",Yes,fixed,,Nil,Nil,350.0,Nil,Nil,No,C/O link Tehi Bijli Ghar to Deehar via Thathoon road km. 0/000 to 8/000,"P/L GSB, WMM and M/T in km. 4/500 to 5/000",Please refer Tender documents. ,NA ,"7,40,553",Civil Works - Others,NA ,Tender,135.0,60.0,Bangana Divsion,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,AOC,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,17-Jul-2021 04:21 PM,19-Jul-2021 10:30 AM,techsummary_72720.pdf (412.40 KB),PWD,2021_PWD_48520_1,No.BGN/2020-21-2229-48 dated 10.06.2021Job4,C/O link Tehi Bijli Ghar to Deehar via Thathoon road km. 0/000 to 8/000,16-Aug-2021,"INR 941,379",60.0,SHASHI PAL,16-Aug-2021 03:11 PM,AOCJOb4.pdf (493.00 KB),Work Awarded,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,23-Jul-2021 12:11 PM,finsummary_72720.pdf (372.16 KB),Finance,Fin bid opened,SHASHI PAL,23-Jul-2021 12:07 PM,finance_72720.pdf,BOQ Comparative Chart,1.0,219338.0,Salochna Devi,INR,"941,379",1.0,218334.0,KULDEEP SINGH GOVT. CONTRACTOR,25-Jun-2021 11:52 AM,Rejected-AOC,Higher side,16-Aug-2021 03:11 PM,Technical,Tech bid opened,SHASHI PAL,17-Jul-2021 04:20 PM,technical_72720.pdf,AOC
,,,,,,,,,,,.pdf,Earnest Money (Online mode),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,219338.0,Salochna Devi,27-Jun-2021 07:44 PM,Accepted-AOC,Lowest,16-Aug-2021 03:11 PM,,,,,,AOC
,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
