Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
01-Dec-2020 09:00 AM,08-Dec-2020 11:30 AM,01-Dec-2020 09:00 AM,08-Dec-2020 11:00 AM,NA ,NA ,01-Dec-2020 09:00 AM,08-Dec-2020 11:00 AM,21-Dec-2020 03:45 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"13,032",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 9878-9950 dt 28/11/2020,2020_HPIPH_42831_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Water quality monitoring and Surveillance under NRDWP programme under Sirmour District HP,"Supplying and installation of various Appartus, CRM and chemicals for water testing Lab. At Nahan",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,AOC,1.0,190656.0,Jyoti Trading Company,05-Dec-2020 06:45 PM,Accepted-AOC,AOC,19-Aug-2021 02:58 PM,Dr. Mandeep Gupta EE,Internal,TA Supdt HDM DAO EE,Mandeep Gupta,21-Dec-2020 03:35 PM,21-Dec-2020 03:45 PM,techsummary_63473.pdf (100.60 KB),Technical,Technical Bid Opening Summary,Mandeep Gupta,21-Dec-2020 03:10 PM,technical_63473.pdf,Finance,Financial Bid Opening Summary,Mandeep Gupta,21-Dec-2020 04:11 PM,finance_63473.pdf,BOQ Comparative Chart,19-Aug-2021,"INR 651,585",60.0,Ashish Rana,19-Aug-2021 02:58 PM,AOC.pdf (731.00 KB),Award to Contractor,Dr Mandeep Gupta EE,Internal,DM HDM EE,Ashish Rana,19-Aug-2021 02:56 PM,finsummary_63473.pdf (731.14 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_42831_1,NHN-SMR00-722- 9878-9950 dt 28/11/2020,Water quality monitoring and Surveillance under NRDWP programme under Sirmour District HP,1.0,190656.0,Jyoti Trading Company,INR,"458,501",AOC
,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,Cost of TEder Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,190643.0,North Land Enterprises,07-Dec-2020 02:53 PM,Rejected-Finance,Reject,19-Aug-2021 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,190896.0,shiv iron general engineers,07-Dec-2020 06:06 PM,Rejected-Finance,Reject,19-Aug-2021 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,190668.0,Shri Ram Contractor,05-Dec-2020 03:33 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Dec-2020 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,PAN and GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,UNdertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
