Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
06-Mar-2021 01:00 PM,07-Apr-2021 12:30 PM,06-Mar-2021 01:00 PM,06-Apr-2021 05:00 PM,06-Mar-2021 01:00 PM ,06-Apr-2021 05:00 PM ,06-Mar-2021 01:00 PM,06-Apr-2021 05:00 PM,05-May-2021 11:30 AM,1.0,ICICI BANK,"HP Irrigation and Public Health||Chamba Circle,Irrigation and Public Health,HP||Dalhousie,Irrigation and Public Health,HP",JSV-DLU-EA-I-E-Tender/2021- 17955-80,2021_HPIPH_45172_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,500",Nil,Nil,No,Executive Engineer,"Jal Shakti Division, Dalhousie","6,28,662",No,fixed,,Nil,Nil,"Engineering, Procurement, Construction, Testing, Commissioning, Trial Run of various Components of Providing L.W.S.S. for Sihunta and other multi villages rural piped water supply scheme for part of block Bhattiyat District Chamba (H.P.)","Engineering, Procurement, Construction, Testing, Commissioning, Trial Run of various Components of Providing L.W.S.S. for Sihunta and other multi villages rural piped water supply scheme for part of block Bhattiyat District Chamba (H.P.)","Engineering, Procurement, Construction, Testing, Commissioning, Trial Run of various Components of Providing L.W.S.S. for Sihunta and other multi villages rural piped water supply scheme for part of block Bhattiyat District Chamba (H.P.) ",NA ,,Civil Works,NA ,Tender,120.0,545.0,Sihunta,176207.0,NA ,NA ,NA ,Dalhousie,No ,No,1.0,Corrigendum2,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money only online mode through E-Payment,AOC,09-Aug-2021,"INR 62,866,213",545.0,Rakesh Chand Thakur,09-Aug-2021 12:17 PM,AOC.pdf (816.00 KB),Out 3 bidder 1 no. accepted and 2 Nos rejected,Finance,Three No.bidder admitted,Rakesh Chand Thakur,09-Aug-2021 12:02 PM,finance_67881.pdf,BOQ Comparative Chart,Technical,"out of five bids, 3 nos bids are accepted and 2 Nos are rejected",Rakesh Chand Thakur,04-May-2021 06:44 PM,technical_67881.pdf,Ersunilkanotra,Internal,shammi raj assistant controller er rakesh Thakur er Sumeet katoch er Rohit dubey er vikas bakshi,Rakesh Chand Thakur,04-May-2021 06:51 PM,05-May-2021 11:30 AM,techsummary_67881.pdf (1395.41 KB),1.0,207650.0,Dogra Construction Company Pvt Ltd,06-Apr-2021 04:36 PM,Rejected-Finance,Lower 2,09-Aug-2021 12:06 PM,Er Sunil Kanora Chief Engineer,Internal,Er R S Rana SE Er Rajesh Kumar EED Er Rakesh Thakur EE Er Ashwani Kumar AED Sh Milap Chand Supdt,Rakesh Chand Thakur,09-Aug-2021 12:06 PM,finsummary_67881.pdf (814.46 KB),"HP Irrigation and Public Health||Chamba Circle,Irrigation and Public Health,HP||Dalhousie,Irrigation and Public Health,HP",2021_HPIPH_45172_1,JSV-DLU-EA-I-E-Tender/2021- 17955-80,"Engineering, Procurement, Construction, Testing, Commissioning, Trial Run of various Components of Providing L.W.S.S. for Sihunta and other multi villages rural piped water supply scheme for part of block Bhattiyat District Chamba (H.P.)",1.0,207534.0,H. C. Bansal Engg. & Contt.,INR,"69,182,399",AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with JAL SHAKTI Department or any other state/central Govt. depa,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,207534.0,H. C. Bansal Engg. & Contt.,06-Apr-2021 02:54 PM,Accepted-AOC,Lower1,09-Aug-2021 12:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN (Permanent Account No.), GST registration and EPF registration (if EPF not registered then befor",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,207660.0,HYDRAULIC ENGINEERING COMPANY,06-Apr-2021 04:01 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2021 06:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three years.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,207658.0,M/s JAGDISH PRASAD AGARWAL,06-Apr-2021 04:34 PM,Rejected-Finance,Lower 3,09-Aug-2021 12:06 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-qualification criteria proof as per NIT condition No. (vii),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,207638.0,MS Kamal Dev Sharma,06-Apr-2021 04:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2021 06:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria. (NIT condition No. (vii))",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking as per Chapter IV of form12 that I have carefully studied all the terms and conditions s,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents as per NIT conditions No. (xii),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other documents and terms and conditions as per NIT and form 6,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
