Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Technical bid opening summary,Arvind Kumar,11-Jun-2021 11:46 AM,technical_71697.pdf,1.0,216032.0,naresh vij govt contractor,10-Jun-2021 09:22 PM,Accepted-AOC,L1,05-Aug-2021 11:58 AM,1.0,216032.0,naresh vij govt contractor,INR,"6,297,689",Finance,Financial bid opening summary,Arvind Kumar,11-Jun-2021 01:42 PM,finance_71697.pdf,BOQ Comparative Chart,Er Arvind sharma EE Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hamender sharma HDM and smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,05-Aug-2021 11:56 AM,finsummary_71697.pdf (176.96 KB),05-Aug-2021,"INR 6,297,689",30.0,Arvind Kumar,05-Aug-2021 11:58 AM,AOC.pdf (308.00 KB),Award of contract,PWD,2021_PWD_47813_1,1212-19 dated 17.05.2021 AMP Solan Meenus road,AMP for the Year 2021-22 for Solan Meenus road Km2/0 to 9/300 MDRD 02,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hamender sharma HDM and smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,11-Jun-2021 12:04 PM,11-Jun-2021 12:05 PM,techsummary_71697.pdf (47.49 KB),AOC,27-May-2021 01:00 PM,11-Jun-2021 11:00 AM,27-May-2021 01:00 PM,11-Jun-2021 10:30 AM,NA ,NA ,27-May-2021 01:00 PM,11-Jun-2021 10:30 AM,11-Jun-2021 12:05 PM,EE B and R HPPWD Solan,Near New Bus stand bye pass road Solan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F General Rule NO24.1,PWD,1212-19 dated 17.05.2021 AMP Solan Meenus road,2021_PWD_47813_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AMP for the Year 2021-22 for Solan Meenus road Km2/0 to 9/300 MDRD 02,SH Providing and laying renewal coat by providing Bituminous Concrete in Km7/0 to Km9/300 including road marking,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,30.0,Himachal Pradesh,173212.0,NA ,NA ,NA ,Solan,No ,No,"96,000",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,1.0,DD - Demand Draft,"5,000",EE B and R Division HPPWD Solan,EE Solan,No,AOC
,,,,,2.0,216058.0,Neeraj Kumar Choudhary,11-Jun-2021 08:06 AM,Rejected-AOC,L2,05-Aug-2021 11:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Contractors registration reffer general rules and directions No 24.3 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,GST registration refer general rules and Directions no 24.4 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit fur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload pdf documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
