Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Bid opening summary,Dinesh Kumar Dhiman,25-Jul-2021 01:52 PM,technical_73464.pdf,1.0,220876.0,abhishek thakur,03-Jul-2021 12:26 PM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 02:57 PM,1.0,221273.0,SANJAY KUMAR,INR,"1,605,021",Finance,Financial opening summary,Dinesh Kumar Dhiman,15-Aug-2021 01:24 PM,finance_73464.pdf,BOQ Comparative Chart,15-Aug-2021,"INR 1,352,570",90.0,Dinesh Kumar Dhiman,15-Aug-2021 02:57 PM,Award-49026-4.pdf (612.00 KB),Work awarded,Er Dinesh Dhiman EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Dinesh Kumar Dhiman,15-Aug-2021 01:28 PM,finsummary_73464.pdf (210.03 KB),Er Dinesh Kumar Dhiman EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Dinesh Kumar Dhiman,25-Jul-2021 02:21 PM,26-Jul-2021 10:30 AM,techsummary_73464.pdf (385.67 KB),PWD,2021_PWD_49026_4,EE Dehra letter No.2025-30 dated 11.06.21,Improvement of Black spot on Dehra Banna road Km. 0/0 to 8/0,AOC,1.0,ICICI BANK,PWD,EE Dehra letter No.2025-30 dated 11.06.21,2021_PWD_49026_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Dehra Division HPPWD Dehra,Improvement of Black spot on Dehra Banna road Km. 0/0 to 8/0,Construction of cement concrete pavement at RD 3/335 to 3/485,Please refer to tender documents ,NA ,,Civil Works - Roads,Repair of road ,Tender,75.0,90.0,Banah,177101.0,NA ,NA ,NA ,Dehra,No ,No,"27,100",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,26-Jun-2021 10:00 AM,06-Jul-2021 11:30 AM,26-Jun-2021 10:00 AM,05-Jul-2021 06:00 PM,26-Jun-2021 10:00 AM ,30-Jun-2021 04:00 PM ,26-Jun-2021 10:00 AM,05-Jul-2021 06:00 PM,26-Jul-2021 10:30 AM,AOC
,,,,,2.0,221278.0,govt contractor,05-Jul-2021 09:13 AM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class,,,,,,,,,,AOC
,,,,,3.0,221273.0,SANJAY KUMAR,05-Jul-2021 04:18 PM,Accepted-AOC,Work awarded being lowest bidder,15-Aug-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,AOC
,,,,,4.0,221018.0,shubham sharma,05-Jul-2021 12:36 PM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,AOC
,,,,,5.0,221006.0,shyam sharma,03-Jul-2021 11:49 AM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,AOC
,,,,,6.0,220604.0,UPINDER SINGH WORK CONTRACTOR,01-Jul-2021 01:59 PM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the name of bid regarding all the documents/information furnished with the bid are,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952,,,,,,,,,,AOC
