Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Sum,Ankit Kumar,22-Jul-2021 11:10 AM,finance_73033.pdf,BOQ Comparative Chart,1.0,219028.0,Sunny Kumar,INR,"2,241,259",Technical,Sum,Suresh Kumar Walia,09-Jul-2021 02:25 PM,technical_73033.pdf,1.0,219638.0,AJIT SINGH GOVT CONTRACTOR,29-Jun-2021 12:36 PM,Rejected-Technical,Not Fulfill Criteria,09-Jul-2021 02:28 PM,Dr Suresh Kumar Walia,Internal,Er Ankit AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Ankit Kumar,22-Jul-2021 11:12 AM,finsummary_73033.pdf (189.09 KB),03-Aug-2021,"INR 2,241,259",90.0,Suresh Kumar Walia,04-Aug-2021 03:20 PM,sunny.pdf (539.00 KB),Award,PWD,2021_PWD_48733_1,PWD- Civil-2425-55-Tanda,Balance work of Gheena to Lohar Lahri road Km 0/000 to 6/780 in Distt Kangra (HP) (SH-providing and laying cement concrete pavement at various between Km 0/000 to 4/000).,Dr Suresh Kumar walia,Internal,Er Ankit AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,09-Jul-2021 02:28 PM,13-Jul-2021 02:00 PM,techsummary_73033.pdf (613.36 KB),AOC,Executive Engineer,Executive Engineer HP PWD Division Tanda,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender Form,19-Jun-2021 09:00 AM,30-Jun-2021 11:30 AM,19-Jun-2021 09:00 AM,29-Jun-2021 06:00 PM,NA ,NA ,19-Jun-2021 09:00 AM,29-Jun-2021 06:00 PM,13-Jul-2021 02:00 PM,PWD,PWD- Civil-2425-55-Tanda,2021_PWD_48733_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,1.0,ICICI BANK,Balance work of Gheena to Lohar Lahri road Km 0/000 to 6/780 in Distt Kangra (HP) (SH-providing and laying cement concrete pavement at various between Km 0/000 to 4/000).,Balance work of Gheena to Lohar Lahri road Km 0/000 to 6/780 in Distt Kangra (HP) (SH-providing and laying cement concrete pavement at various between Km 0/000 to 4/000).,Please refer Tender documents. ,NA ,"24,36,571",Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Tanda,No ,No,"44,050",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,220114.0,atul thakur,29-Jun-2021 01:52 PM,Rejected-Technical,Not Fulfill Criteria,09-Jul-2021 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,219032.0,Neeraj,25-Jun-2021 06:18 AM,Rejected-Finance,Lowest 2,22-Jul-2021 11:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,220300.0,Sahil Sharma,29-Jun-2021 05:01 PM,Rejected-Technical,Not Fulfill Criteria,09-Jul-2021 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,219028.0,Sunny Kumar,25-Jun-2021 06:00 AM,Accepted-AOC,Award,04-Aug-2021 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
