Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 2326-2406 dt 20-5-2021,2021_HPIPH_47676_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,Augmentation of LWSS of Jawahar Navodaya Vidhalya Judda Ka Johar in Tehsil Nahan Distt. Sirmour,"Removal of slips, C/O boundry wall, C/O Side Drain, Providing Door window, Distempering and white washing of Pump House).",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"19,802",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,21-May-2021 05:00 PM,29-May-2021 11:30 AM,21-May-2021 05:00 PM,29-May-2021 11:00 AM,NA ,NA ,21-May-2021 05:00 PM,29-May-2021 11:00 AM,04-Jun-2021 10:45 AM,1.0,ICICI BANK,AOC,12-Aug-2021,"INR 990,088",90.0,Ashish Rana,12-Aug-2021 04:22 PM,AOC.pdf (719.00 KB),Award to Contractor,1.0,214183.0,imIMRAN SHAH,29-May-2021 09:42 AM,Accepted-AOC,AOC,12-Aug-2021 04:22 PM,Finance,Financial Bid opening summary,Mandeep Gupta,04-Jun-2021 02:22 PM,finance_71556.pdf,BOQ Comparative Chart,Er. Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,12-Aug-2021 04:20 PM,finsummary_71556.pdf (718.95 KB),Dr. Mandeep Gupta EE,Internal,TA Supdt HDM DAO EE,Mandeep Gupta,04-Jun-2021 10:42 AM,04-Jun-2021 10:45 AM,techsummary_71556.pdf (99.83 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_47676_10,NHN-SMR00-722- 2326-2406 dt 20-5-2021,Augmentation of LWSS of Jawahar Navodaya Vidhalya Judda Ka Johar in Tehsil Nahan Distt. Sirmour,Technical,Technical Bid Opening Summary,Mandeep Gupta,04-Jun-2021 10:40 AM,technical_71556.pdf,1.0,214183.0,imIMRAN SHAH,INR,"946,229",AOC
,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2.0,214177.0,Nitin Singh Thakur,28-May-2021 11:22 PM,Rejected-Finance,Rejected,12-Aug-2021 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Registration with HP JSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,214175.0,viney sharma,28-May-2021 08:43 PM,Rejected-Finance,Rejected,12-Aug-2021 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,UNdertaking joint venture is anot allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,UNdertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
