Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,EE Dehra letter No.2025-30 dated 11.06.21,2021_PWD_49026_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Dehra Division HPPWD Dehra,"15,700",No,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Govt. Primary School Naushehra Tehsil Dehra Distt. kangra H.P.,"Construction of building portion, Distempering, painting, plastering flooring etc.)",Please refer to tender documents ,NA ,,Civil Works - Buildings,C/O building ,Tender,75.0,90.0,Naushehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,26-Jun-2021 10:00 AM,06-Jul-2021 11:30 AM,26-Jun-2021 10:00 AM,05-Jul-2021 06:00 PM,26-Jun-2021 10:00 AM ,30-Jun-2021 04:00 PM ,26-Jun-2021 10:00 AM,05-Jul-2021 06:00 PM,26-Jul-2021 10:30 AM,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,AOC,1.0,220751.0,Govt. Contractor,02-Jul-2021 08:51 PM,Accepted-AOC,Work awarded being lowest bidder,15-Aug-2021 01:13 PM,Technical,Bid opening summary,Dinesh Kumar Dhiman,25-Jul-2021 01:49 PM,technical_73461.pdf,1.0,220751.0,Govt. Contractor,INR,"897,663",Finance,Financial bid opening,Dinesh Kumar Dhiman,15-Aug-2021 12:57 PM,finance_73461.pdf,BOQ Comparative Chart,PWD,2021_PWD_49026_1,EE Dehra letter No.2025-30 dated 11.06.21,Construction of Govt. Primary School Naushehra Tehsil Dehra Distt. kangra H.P.,Er Dinesh Kumar Dhiman,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Dinesh Kumar Dhiman,25-Jul-2021 02:09 PM,26-Jul-2021 10:30 AM,techsummary_73461.pdf (351.04 KB),Er Dinesh Dhiman EE,Internal,Er Raghubir Singh AE to EE Sh. Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Dinesh Kumar Dhiman,15-Aug-2021 01:03 PM,finsummary_73461.pdf (206.92 KB),15-Aug-2021,"INR 784,325",90.0,Dinesh Kumar Dhiman,15-Aug-2021 01:13 PM,Award-49026-1.pdf (616.00 KB),Work Awarded,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class,AOC,2.0,220562.0,RAJIV SHARMA GOVT CONTRACT SERVICE,04-Jul-2021 02:03 PM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,AOC,3.0,221312.0,Suresh Rana,05-Jul-2021 01:02 PM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the name of bid regarding all the documents/information furnished with the bid are,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
