Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Vijay Kumar Chauhan,Internal,"L.R.Shandil, Head D/man, Jia Lal, Draughtsman",Vijay Kumar Chauhan,18-Aug-2021 12:08 PM,finsummary_74979.pdf (438.56 KB),19-Aug-2021,"INR 610,015",60.0,Vijay Kumar Chauhan,24-Aug-2021 10:16 AM,Award.pdf (735.00 KB),Award letter,PWD,2021_PWD_50103_6,PW.THD/CB-tender/2021-2764-78,Improvement of black spoots on Chailla Ghoonnd road km. 0.00 to16.00,Vijay Kumar Chauhan,Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, HDM, Satya Pal, Supdt. Gr-II, Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,10-Aug-2021 09:51 AM,10-Aug-2021 11:00 AM,techsummary_74979.pdf (773.73 KB),Technical,Bid Opening summary,Vijay Kumar Chauhan,30-Jul-2021 11:21 AM,technical_74979.pdf,1.0,225421.0,ankush,26-Jul-2021 04:28 PM,Rejected-Finance,Higher Bid,18-Aug-2021 12:08 PM,1.0,225635.0,Ramesh Chand Verma,INR,"549,015",Finance,Financial Summary,Vijay Kumar Chauhan,11-Aug-2021 12:32 PM,finance_74979.pdf,BOQ Comparative Chart,AOC,20-Jul-2021 05:00 PM,29-Jul-2021 11:00 AM,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,NA ,NA ,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,10-Aug-2021 11:00 AM,Improvement of black spoots on Chailla Ghoonnd road km. 0.00 to16.00,Providing and fixing W beam metal crash barrier in km 1.030 to 1.180,As per SBD ,NA ,"6,10,015",Civil Works - Roads,NA ,Tender,60.0,60.0,"Theog Tehsil Theog Distt. Shimla, H.P.",171201.0,NA ,NA ,NA ,Theog Division,No ,No,PWD,PW.THD/CB-tender/2021-2764-78,2021_PWD_50103_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"12,300",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,Executive Engineer,"Theog Division, H.p.P.W.D.,. tHEOG Distt. Shimla, HP",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of On line receipt/UTR No. for EMD and cost of form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,225436.0,JITENDER VERMA,28-Jul-2021 12:39 PM,Rejected-Finance,higher Bid,18-Aug-2021 12:08 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,225929.0,Rajinder Singh,28-Jul-2021 12:28 PM,Rejected-Finance,Higher Bid,18-Aug-2021 12:08 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,225635.0,Ramesh Chand Verma,28-Jul-2021 04:28 PM,Accepted-AOC,Awarded being L1,24-Aug-2021 10:16 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous prov. Act.1952.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,225830.0,sohan lal verma,27-Jul-2021 08:01 PM,Rejected-Technical,Non responsive,10-Aug-2021 09:51 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 submit the original signed by the bidder and witnesses,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required d as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
