Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
01-Dec-2020 09:00 AM,08-Dec-2020 12:30 PM,01-Dec-2020 09:00 AM,07-Dec-2020 05:00 PM,01-Dec-2020 09:00 AM ,07-Dec-2020 05:00 PM ,01-Dec-2020 09:00 AM,07-Dec-2020 05:00 PM,23-Jan-2021 01:00 PM,1.0,ICICI BANK,"2,75,229",Yes,fixed,,EE Shillai,Shillai,Executive Engineer,Jal Shakti Division Shillai,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest Money etc shall be deposited through Online or Offline mode,"2,500",EE Shillai,Shillai,Yes,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP",SHL-SMR03-780 NIT No. 6058-6107 Dated 26.11.2020,2020_HPIPH_42847_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Aug and Imp of LWSS Kandi Sundrari Naya Kuhnt in Tehsil Shillai Distt. Sirmour HP,SH CO WTP of 0.5 MLD Supply and Errection of Pumping Machinery at Booster 20HP 1st Stage 200HP 2nd Stage 200HP PLJ of Rising Main of 125 MM Dia at Booster 1st and 2nd Stage CO additional rooms for Pumping Machinery at stage 1st and 2nd,Please refer to tender documents ,NA ,,Civil Works,NA ,Tender,120.0,360.0,Shillai,173027.0,NA ,NA ,NA ,Jal Shakti Division Shillai,No ,No,AOC,Rajesh Kumar,Internal,XEN Supdt DAO HDM TA,Rajesh Kumar,12-Aug-2021 06:13 PM,finsummary_63504.pdf (921.18 KB),1.0,190253.0,The Spunpipe and Construction Co Baroda Pvt Ltd,INR,"25,926,366","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP",2020_HPIPH_42847_1,SHL-SMR03-780 NIT No. 6058-6107 Dated 26.11.2020,Aug and Imp of LWSS Kandi Sundrari Naya Kuhnt in Tehsil Shillai Distt. Sirmour HP,12-Aug-2021,"INR 24,272,902",365.0,Rajesh Kumar,12-Aug-2021 06:16 PM,Award.pdf (524.00 KB),Awarded,Technical,Technical Bid Summary,Vipan Kumar,23-Jan-2021 12:43 PM,technical_63504.pdf,Finance,Financial opening bid summary,Vipan Kumar,12-Aug-2021 06:07 PM,finance_63504.pdf,BOQ Comparative Chart,1.0,190018.0,H. C. Bansal Engg. & Contt.,06-Dec-2020 11:29 PM,Rejected-Finance,Rejected,12-Aug-2021 06:13 PM,Executive Engineer,Internal,"AE,DAO,Supdt,TA",Vipan Kumar,23-Jan-2021 12:48 PM,23-Jan-2021 01:00 PM,techsummary_63504.pdf (525.96 KB),AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Certificate of Registration with Jal Shakti Vibhag in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,190253.0,The Spunpipe and Construction Co Baroda Pvt Ltd,05-Dec-2020 02:14 PM,Accepted-AOC,Awarded,12-Aug-2021 06:16 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN , GST Registration and EPF Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of authorization of dealership, work experience and Curve Chart of Pumping Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,The list of similar nature Work done/Completed/Work in Progress with performance certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding utilization of Earnest Money in case of exemption only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of undertaking that contractor has studied all the terms and conditions as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of DSC vender, Joint Venture not allowed and undertaking of provision of contract Labour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual financial turnover during last 3 years not less then 30 percent of estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
