Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"Construction of new Workshops block at Govt. ITI. Solan, Distt. Solan (HP).","Construction of new Workshops block at Govt. ITI. Solan, Distt. Solan (HP).",Please refer Tender documents. ,NA ,"1,83,02,600",Civil Works - Buildings,NA ,Tender,120.0,545.0,Solan,173211.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration (As per NIT conditions),09-Jan-2020 04:30 PM,22-Jan-2020 11:00 AM,09-Jan-2020 04:30 PM,21-Jan-2020 05:00 PM,NA ,NA ,09-Jan-2020 04:30 PM,21-Jan-2020 05:00 PM,31-Jan-2020 11:00 AM,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,Corrigendum-1,Fee,,1.0,ICICI BANK,"2,15,500",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,Executive Engineer,HPSIDC Ltd. Shimla,HP SIDC Limited,Job No. 1,2020_SIDC_33959_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Finance,Financial summary,Sushant Singh Negi,04-Feb-2020 04:06 PM,finance_49123.pdf,BOQ Comparative Chart,Technical,Tender opening summary,Sushant Singh Negi,28-Jan-2020 11:02 AM,technical_49123.pdf,SE,Internal,"AE(HQ), Dy. Manager(P), EE(HQ)",Sushant Singh Negi,30-Jan-2020 04:53 PM,31-Jan-2020 11:00 AM,techsummary_49123.pdf (592.89 KB),1.0,146188.0,Hira Singh Thakur,21-Jan-2020 08:33 AM,Accepted-AOC,AOC,02-Aug-2021 02:48 PM,29-Jun-2020,"INR 23,890,274",545.0,Sushant Singh Negi,02-Aug-2021 02:48 PM,hirasingh.pdf (1964.00 KB),AOC,1.0,146188.0,Hira Singh Thakur,INR,"23,890,274",SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE",Sushant Singh Negi,04-Feb-2020 04:14 PM,finsummary_49123.pdf (425.44 KB),HP SIDC Limited,2020_SIDC_33959_1,Job No. 1,"Construction of new Workshops block at Govt. ITI. Solan, Distt. Solan (HP).",AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,2.0,Corrigendum for tender condition,Other,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,144954.0,VK Mangla,20-Jan-2020 04:47 PM,Rejected-Finance,Second lowest bidder,04-Feb-2020 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit the the information furnished with the bid documents is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that he has not more than two works in hand each of Rs. 100.00 lacs or more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed similar work done certificate (as per tender condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery/ equipments and skilled Engineer/ Technical staff.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
