EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"25,000",No,fixed,,HP AGRO INDUSTRIES CORPORATION Ltd.,Shimla,HP Agro Industries Corporation Ltd,15-88(RC)/2019-2020,2019_HPAIC_32297_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,Purchase of Bio- Fertilizers by the Department of Horticulture and Agriculture etc. of Himachal Pradesh on Annual Rate Contract basis for the year 2019-2020.,Purchase of Bio- Fertilizers by the Department of Horticulture and Agriculture etc. of Himachal Pradesh on Annual Rate Contract basis for the year 2019-2020.,Please refer Tender documents. ,NA ,"10,00,000",Miscellaneous Goods,NA ,Rate Contract,120.0,180.0,SHIMLA,171002.0,NA ,NA ,NA ,SHIMLA,No ,No,M.D. HPAIC SHIMLA,HP AGRO INDUSTRIES CORPORATION Ltd. SHIMLA,1.0,Fee/PreQual/Technical,.pdf,SCANNED COPY OF PAGE NO. 2 OF RFP (DETAIL OF TENDER) DULY FILLED AND SIGNED,"5,000",HP AGRO INDUSTRIES CORPORATION Ltd.,Shimla,No,1.0,DD - Demand Draft,1.0,Tender postponed,Date,,26-Oct-2019 04:00 PM,13-Feb-2020 03:30 PM,26-Oct-2019 04:00 PM,11-Feb-2020 05:00 PM,NA ,NA ,26-Oct-2019 04:00 PM,11-Feb-2020 05:00 PM,20-Mar-2020 03:30 PM,AOC,Managing Director,Internal,"SPPO, PPO, DM, AO",MANOJ KUMAR,07-Oct-2020 01:19 PM,finsummary_46425.pdf (297.14 KB),HP Agro Industries Corporation Ltd,2019_HPAIC_32297_1,15-88(RC)/2019-2020,Purchase of Bio- Fertilizers by the Department of Horticulture and Agriculture etc. of Himachal Pradesh on Annual Rate Contract basis for the year 2019-2020.,1.0,137398.0,Sai Bio Organics,INR,"5,000,000",Finance,Bid Opening Summary,MANOJ KUMAR,07-Oct-2020 12:33 PM,finance_46425.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,MANOJ KUMAR,13-Mar-2020 12:57 PM,technical_46425.pdf,24-Aug-2021,"INR 5,000,000",180.0,NIKETAN CHAUHAN,24-Aug-2021 02:10 PM,Saibioorganicfertilizers.pdf (505.00 KB),AOC,MD,Internal,"AO, CAO, DM, PPO, SPPO, DDA",MANOJ KUMAR,13-Mar-2020 01:05 PM,20-Mar-2020 03:30 PM,techsummary_46425.pdf (382.78 KB),1,136478,AGRICIDES INDIA,06-Feb-2020 07:22 PM,Rejected-Finance,Highest rate,07-Oct-2020 01:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SCANNED COPIES OF DOCUMENTS AS MENTIONED IN PAGE NO. 4 OF RFP (QUALIFICATION CRITERIA SR.NO. 1 TO 6),,,,,,,2.0,Corrections,Other,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,136355,ANSHUL AGRO CHEMICALS,15-Nov-2019 05:25 PM,Rejected-Finance,Highest rate,07-Oct-2020 01:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SCANNED COPIES OF DOCUMENTS AS MENTIONED IN PAGE NO. 4 OF RFP (QUALIFICATION CRITERIA SR.NO. 7),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,135909,ARVIND ENTERPRISES,09-Nov-2019 06:26 PM,Rejected-Technical,NOT QUALIFIED,13-Mar-2020 01:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SCANNED COPIES OF DOCUMENTS AS MENTIONED IN PAGE NO. 4 OF RFP (QUALIFICATION CRITERIA SR.NO. 8),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,136437,BIOTECH INTERNATIONAL LTD,17-Jan-2020 02:55 PM,Rejected-Finance,Highest rate,07-Oct-2020 01:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SCANNED COPIES OF DOCUMENTS AS MENTIONED IN PAGE NO. 4 OF RFP (QUALIFICATION CRITERIA SR.NO. 9),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,137562,International Panaacea Limited,10-Feb-2020 06:53 PM,Rejected-Finance,Highest rate,07-Oct-2020 01:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SIGNED COPY OF ALL PAGES OF RFP AND ANY OTHER DOCUMENT REQUIRED AS PER TERMS NOT UPLOADED ELSEWHERE,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,136329,MD Biocoals Pvt. Ltd.,23-Nov-2019 04:22 PM,Rejected-Finance,Highest rate,07-Oct-2020 01:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SCANNED COPY OF ANNEXURE 1 DULY FILLED AND SIGNED,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,137101,M/s Ajay biotech India Ltd.,11-Feb-2020 01:23 PM,Rejected-Finance,Highest rate,07-Oct-2020 01:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,136128,MULTIPLEX BIO-TECH PVT. LTD.,15-Nov-2019 05:13 PM,Rejected-Finance,Highest rate,07-Oct-2020 01:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,148938,National Fertilizers Limited,11-Feb-2020 01:02 PM,Rejected-Technical,NOT QUALIFIED,13-Mar-2020 01:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,137398,Sai Bio Organics,25-Nov-2019 04:46 PM,Accepted-AOC,Approximately award value given by the Department of Agriculture,24-Aug-2021 02:10 PM,AOC
