S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,135929.0,FIL INDUSTRIES LIMITED,INR,"2,000,000",HP Agro Industries Corporation Ltd,2019_HPAIC_32294_1,15-88(RC)/2019-2020,"Purchase of Pesticides-Horticulture (Fungicides, Insecticides, Herbicites and Rodenticides, Bio Pesticides) by the Department of Horticulture etc. of Himachal Pradesh on Annual Rate Contract basis for the year 2019-2020.",MD,Internal,"AO, DM, SPPO, PPO",MANOJ KUMAR,19-May-2020 02:10 PM,finsummary_46421.pdf (691.89 KB),MD,Internal,"AO, CAO, DM, PPO, SPPO, DDA",MANOJ KUMAR,13-Mar-2020 01:38 PM,20-Mar-2020 11:00 AM,techsummary_46421.pdf (717.93 KB),1,136470,Adama India Pvt Ltd,16-Nov-2019 03:40 PM,Rejected-Technical,NOT QUALIFIED,13-Mar-2020 01:38 PM,Finance,Bid Opening Summary,MANOJ KUMAR,19-May-2020 02:02 PM,None,BOQ Comparative Chart,Technical,Bid Opening Summary,MANOJ KUMAR,13-Mar-2020 01:29 PM,technical_46421.pdf,19-May-2020,"INR 10,000,000",180.0,NIKETAN CHAUHAN,24-Aug-2021 12:54 PM,mergedhortrc.pdf (1832.00 KB),AOC,AOC,1.0,Fee/PreQual/Technical,.pdf,SCANNED COPY OF PAGE NO. 2 OF RFP (DETAIL OF TENDER) DULY FILLED AND SIGNED,M.D. HPAIC SHIMLA,HP AGRO INDUSTRIES CORPORATION Ltd. SHIMLA 171002,"5,000",HP AGRO INDUSTRIES CORPORATION Ltd.,Shimla,No,1.0,DD - Demand Draft,"25,000",No,fixed,,HP AGRO INDUSTRIES CORPORATION Ltd.,Shimla,HP Agro Industries Corporation Ltd,15-88(RC)/2019-2020,2019_HPAIC_32294_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,1.0,Tender postponed,Date,,"Purchase of Pesticides-Horticulture (Fungicides, Insecticides, Herbicites and Rodenticides, Bio Pesticides) by the Department of Horticulture etc. of Himachal Pradesh on Annual Rate Contract basis for the year 2019-2020.","Purchase of Pesticides-Horticulture (Fungicides, Insecticides, Herbicites and Rodenticides, Bio Pesticides) by the Department of Horticulture etc. of Himachal Pradesh on Annual Rate Contract basis for the year 2019-2020.",Please refer Tender documents. ,NA ,"5,00,00,000",Pesticide,NA ,Rate Contract,120.0,180.0,SHIMLA,171002.0,NA ,NA ,NA ,SHIMLA,No ,No,26-Oct-2019 04:00 PM,14-Feb-2020 02:00 PM,26-Oct-2019 04:00 PM,11-Feb-2020 05:00 PM,NA ,NA ,26-Oct-2019 04:00 PM,11-Feb-2020 05:00 PM,20-Mar-2020 11:00 AM,AOC
2.0,136004.0,DHANUKA AGRITECH LIMITED,INR,"500,000",,,,,,,,,,,,,,,,,,2,136414,Bayer Cropscience Ltd,21-Nov-2019 12:37 PM,Rejected-Technical,NOT QUALIFIED,13-Mar-2020 01:38 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,SCANNED COPIES OF DOCUMENTS AS MENTIONED IN PAGE NO. 4 OF RFP (QUALIFICATION CRITERIA SR.NO. 1 TO 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum-IV,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,136137.0,PIONEER PESTICIDES PVT. LTD,INR,"4,000,000",,,,,,,,,,,,,,,,,,3,136039,Biostadt India Limited,15-Nov-2019 05:20 PM,Rejected-Finance,High rates,19-May-2020 02:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,SCANNED COPIES OF ISI CERTIFICATES AS MENTIONED IN PAGE NO.4 OF RFP(QUALIFICATION CRITERIA SR.NO. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,136364.0,Crop Chemicals India Ltd,INR,"2,500,000",,,,,,,,,,,,,,,,,,4,136409,BIOTECH INTERNATIONAL LTD,17-Jan-2020 02:52 PM,Rejected-Technical,NOT QUALIFIED,13-Mar-2020 01:38 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,SCANNED COPIES OF TEST REPORTS AS MENTIONED IN PAGE NO.4 OF RFP(QUALIFICATION CRITERIA SR.NO. 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,136421.0,INDOFIL INDUSTRIES LIMITED,INR,"1,000,000",,,,,,,,,,,,,,,,,,5,136125,COROMANDEL INTERNATIONAL LIMITED,15-Nov-2019 10:49 PM,Rejected-Finance,High rates,19-May-2020 02:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,SCANNED COPIES OF ALL DOCUMENTS AS MENTIONED IN PAGE NO.5 OF RFP(QUALIFICATION CRITERIA S.NO.9 TO 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,136364,Crop Chemicals India Ltd,16-Nov-2019 01:16 PM,Accepted-AOC,L-1,24-Aug-2021 12:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,SCANNED COPY OF ANNEXURE 1 DULY FILLED AND SIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,136004,DHANUKA AGRITECH LIMITED,06-Feb-2020 05:31 PM,Accepted-AOC,L-1,24-Aug-2021 12:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,SIGNED COPY OF ALL PAGES OF RFP AND ANY OTHER DOCUMENT REQUIRED AS PER TERMS NOT UPLOADED ELSEWHERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,135929,FIL INDUSTRIES LIMITED,15-Nov-2019 05:33 PM,Accepted-AOC,L-1,24-Aug-2021 12:54 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,136298,FMC India Pvt. Ltd,15-Nov-2019 05:14 PM,Rejected-Finance,High rates,19-May-2020 02:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,136172,Heranba Industries Ltd,26-Nov-2019 11:55 AM,Rejected-Technical,NOT QUALIFIED,13-Mar-2020 01:38 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
