Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Improvement of black spot on Nangal Devi to nbaleha road km 0.00 to 5.00,Providing and fixing W beam metal crash barrier in km 0.465 to 0.645,As per SBD ,NA ,"7,33,385",Civil Works - Roads,NA ,Tender,60.0,60.0,"Theog Tehsil Theog Distt. Shimla, H.P.",171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of On line receipt/UTR No. for EMD and cost of form,1.0,ICICI BANK,20-Jul-2021 05:00 PM,29-Jul-2021 11:00 AM,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,NA ,NA ,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,10-Aug-2021 11:00 AM,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Tehsil Theog Distt. Shimla, HP",PWD,PW.THD/CB-tender/2021-2764-78,2021_PWD_50103_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"15,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,AOC,Vijay Kumar Chauhan,Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, HDM, Satya Pal, Supdt. Gr-II Leela Verm,a, Sr. Asstt.",Vijay Kumar Chauhan,10-Aug-2021 09:32 AM,10-Aug-2021 11:00 AM,techsummary_74947.pdf (791.24 KB),PWD,2021_PWD_50103_2,PW.THD/CB-tender/2021-2764-78,Improvement of black spot on Nangal Devi to nbaleha road km 0.00 to 5.00,19-Aug-2021,"INR 733,385",60.0,Vijay Kumar Chauhan,24-Aug-2021 09:58 AM,Award.pdf (496.00 KB),Award letter,Vijay Kumar Chauhan,Internal,"Lekh Ram Shandil, Head D/man, Jia Lal, D/man",Vijay Kumar Chauhan,18-Aug-2021 11:47 AM,finsummary_74947.pdf (421.27 KB),1.0,225414.0,Anil Kumar,28-Jul-2021 12:36 PM,Rejected-Finance,Higher Bid,18-Aug-2021 11:47 AM,Technical,Bid Opening summary,Vijay Kumar Chauhan,30-Jul-2021 10:45 AM,technical_74947.pdf,Finance,Financial summary,Vijay Kumar Chauhan,11-Aug-2021 12:25 PM,finance_74947.pdf,BOQ Comparative Chart,1.0,225614.0,VINOD KUMAR,INR,"667,547",AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,226063.0,ANIL SHARMA,28-Jul-2021 04:12 PM,Rejected-Finance,Higher Bid,18-Aug-2021 11:47 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,225656.0,Gian Chand,28-Jul-2021 04:15 PM,Rejected-Finance,Higher rate,18-Aug-2021 11:47 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous prov. Act.1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,225452.0,Rajender Singh,26-Jul-2021 03:11 PM,Rejected-Finance,Higher Bid,18-Aug-2021 11:47 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,225457.0,Sunil Khachi,26-Jul-2021 03:36 PM,Rejected-Technical,Technically non responsive,10-Aug-2021 09:32 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 submit the original signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,225614.0,VINOD KUMAR,27-Jul-2021 11:08 AM,Accepted-AOC,Awarded being L1,24-Aug-2021 09:58 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required d as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
