Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
13-Aug-2021,"INR 22,656,573",365.0,Manish Sehgal,13-Aug-2021 03:41 PM,AOC.pdf (132.00 KB),AOC,"Shri I.S. Uttam SE, 5th Circle",Internal,Saroj Rana Supdt G-II R. K.Chauhan CHD Suraj Parkash Sr DAO Manish Sehgal EE A.K.Kohli (AE(D) for EE(D),Manish Sehgal,13-Aug-2021 03:37 PM,finsummary_69486.pdf (489.39 KB),I.S. Uttam,Internal,Saroj Supdt G-II Raj Kumar CHD Suraj Parkash Sr DAO Manish Sehgal EE M.R.Rana EE(D),Manish Sehgal,21-May-2021 11:30 AM,25-May-2021 11:00 AM,techsummary_69486.pdf (1165.17 KB),PWD,2021_PWD_46203_1,Link road Samana Bheravshwar Mandir toBhoda NABARD,"Construction of link road Samana, Bheravshwar Mandir to Bhoda Km. 0/00 to 4/215 in District Kangra (H.P)",Finance,Bid opening summary,Manish Sehgal,13-Aug-2021 03:25 PM,finance_69486.pdf,BOQ Comparative Chart,1.0,208109.0,Kulvinder,INR,"22,656,573",Technical,Bid opening summary,Manish Sehgal,21-May-2021 11:24 AM,technical_69486.pdf,1.0,208109.0,Kulvinder,20-Apr-2021 01:03 PM,Accepted-AOC,Bid Rank-L1,13-Aug-2021 03:41 PM,AOC,"SE, 5th Circle HP.PWD Palampur","SE, 5th Circle HP.PWD Palampur","5,000",Nil,Nil,No,05-Apr-2021 03:30 PM,21-Apr-2021 11:00 AM,05-Apr-2021 03:35 PM,20-Apr-2021 03:00 PM,NA ,NA ,05-Apr-2021 04:00 PM,20-Apr-2021 03:00 PM,25-May-2021 11:00 AM,"Construction of link road Samana, Bheravshwar Mandir to Bhoda Km. 0/00 to 4/215 in District Kangra (H.P)","Formation Cutting, Passing places, R/walls, C.D. work, GSB, WBM-II, WBM-III, tarring work, CC Pavement, side drain and parapets) (Under NABARD RIDF-XXVI)",Please refer Tender documents. ,NA ,"2,62,05,708",Civil Works - Roads,NA ,Tender,75.0,365.0,Bhawarna,176083.0,NA ,NA ,NA ,"O/o SE, 5th Circle Palampur",No ,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6.,1.0,ICICI BANK,PWD,Link road Samana Bheravshwar Mandir toBhoda NABARD,2021_PWD_46203_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,25,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,208774.0,Navneet Thakur,20-Apr-2021 01:16 PM,Rejected-AOC,Bid Rank-L4,13-Aug-2021 03:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form as per section 1 Point no.3.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,208676.0,Sanjeev,16-Apr-2021 02:56 PM,Rejected-AOC,Bid Rank-L2,13-Aug-2021 03:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.1,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,209214.0,VISHAL RAJPUT,20-Apr-2021 01:12 PM,Rejected-AOC,Bid Rank-L3,13-Aug-2021 03:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity as per Section-2 Cl-15.1,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 3 (1.3.1), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 3 (1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 3 (1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 3 (1.6), (1.),(1.9),(1.10)",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I as per section 2 Cl (4.2.g),(4.2.h)",,,,,,,,,,,,,,,,,,,,,,,AOC
