Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
PAWAN KUMAR,Internal,"AE Rohru, Supdtt-G-ll",Duni Chand Chauhan,24-Aug-2021 10:50 AM,finsummary_70189.pdf (124.13 KB),24-Aug-2021,"INR 6,756,148",60.0,Duni Chand Chauhan,24-Aug-2021 10:55 AM,Summary.pdf (124.00 KB),(SH- Providing renewal coat at RD 0/0 to 3/0 0/0 to 1/500 and 450mtr pucca drain),PWD,2021_PWD_46710_5,PW-RD-GA-T-342-441dt9-4-2021,Providing Periodical Maintenance on Summerkot Tikkari Shalawat road KM 0/0 to 3/0 and Link road Bhaloon Khad Kali Mata Mandir km 0/0 to 1/500,PAWAN KUMAR,Internal,DUNI CHAND,Duni Chand Chauhan,30-Apr-2021 03:55 PM,30-Apr-2021 04:00 PM,techsummary_70189.pdf (130.58 KB),Finance,Bid Opening Summary,Duni Chand Chauhan,04-May-2021 05:14 PM,finance_70189.pdf,BOQ Comparative Chart,1.0,209667.0,AJAY SAUHTA,INR,"6,756,148",Technical,Bid Opening Summary,Duni Chand Chauhan,30-Apr-2021 03:48 PM,technical_70189.pdf,1.0,209667.0,AJAY SAUHTA,23-Apr-2021 02:56 PM,Accepted-AOC,work completed,24-Aug-2021 10:55 AM,AOC,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,Providing Periodical Maintenance on Summerkot Tikkari Shalawat road KM 0/0 to 3/0 and Link road Bhaloon Khad Kali Mata Mandir km 0/0 to 1/500,(SH- Providing renewal coat at RD 0/0 to 3/0 0/0 to 1/500 and 450mtr pucca drain),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,60.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,22-Apr-2021 10:00 AM,28-Apr-2021 11:00 AM,22-Apr-2021 10:00 AM,27-Apr-2021 06:00 PM,NA ,NA ,22-Apr-2021 10:00 AM,27-Apr-2021 06:00 PM,30-Apr-2021 04:00 PM,E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,PWD,PW-RD-GA-T-342-441dt9-4-2021,2021_PWD_46710_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"96,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,EARNEST MONEY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND SALES TAX NUMBER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CA/Turnover of Last five year,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The work Done statements should be coantersigned by the Engineer in charge not below the rank of E.E,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"physical submission submit should be compulsory otherwise tender will be rejected, UTR No copy shoul",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
