Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"5,000",Nil,Nil,No,19-May-2021 06:00 PM,02-Jun-2021 11:30 AM,19-May-2021 06:00 PM,01-Jun-2021 06:00 PM,NA ,NA ,19-May-2021 06:00 PM,01-Jun-2021 06:00 PM,30-Jun-2021 11:00 AM,PWD,SE Nurpur Letter No. 263-67 dated 23.04.2021,2021_PWD_47622_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,SE,9th Circle HPPWD Nurpur,Construction of Link road from GP Dhar to village Trial via Harizan Basti Pohal and Govt. Middle School Sapru in Km 0/0 to 3/500,"C/o 5/7mtr Formation cutting, R/walls, Cross drainage works, P/L GSB, Metalling and Tarring, Road side drain and Parapets in Km 0/0 to3/500). (Under NABARD RIDF-XXVI).",Please refer to tender documents ,NA ,,Civil Works,NA ,Tender,75.0,365.0,Dehra,177101.0,NA ,NA ,NA ,SE 9th Circle HPPWD Nurpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,Corrigendum,Date,,"5,77,000",No,fixed,,Nil,Nil,AOC,1.0,214319.0,Rohit,INR,"25,718,008",Finance,Financial Bid opening,Dinesh Kumar Dhiman,15-Jul-2021 05:50 PM,finance_71449.pdf,BOQ Comparative Chart,1.0,214474.0,NAVNEET SHARMA,01-Jun-2021 05:18 PM,Rejected-Finance,Highest Bid amount,15-Jul-2021 05:54 PM,Technical,03 Bids opened on 02.06.2021,Dinesh Kumar Dhiman,24-Jun-2021 03:53 PM,technical_71449.pdf,PWD,2021_PWD_47622_2,SE Nurpur Letter No. 263-67 dated 23.04.2021,Construction of Link road from GP Dhar to village Trial via Harizan Basti Pohal and Govt. Middle School Sapru in Km 0/0 to 3/500,SE Nurpur,Internal,EE Dehra DAO Dehra EE Design Nurpur,Dinesh Kumar Dhiman,24-Jun-2021 03:59 PM,30-Jun-2021 11:00 AM,techsummary_71449.pdf (7618.61 KB),SE Nurpur,Internal,EE Dehra EE Design DAO Dehra,Dinesh Kumar Dhiman,15-Jul-2021 05:54 PM,finsummary_71449.pdf (198.09 KB),10-Aug-2021,"INR 25,807,320",365.0,Dinesh Kumar Dhiman,11-Aug-2021 06:30 PM,Award-Riohit.pdf (1029.00 KB),Award of work,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST Registration,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,214359.0,rajat thakur govt contractor,31-May-2021 05:24 PM,Rejected-Finance,Highest Bid amount,15-Jul-2021 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,214319.0,Rohit,01-Jun-2021 01:37 PM,Accepted-AOC,Work Awarded being lowest bidder,11-Aug-2021 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Works in hand,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with declaration that he has not more than two works in hand,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
