Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"5,000",EE NH Theog,HP PWD NH Theog,No,12-Feb-2021 05:30 PM,20-Feb-2021 11:00 AM,12-Feb-2021 05:30 PM,19-Feb-2021 06:00 PM,NA ,NA ,12-Feb-2021 05:30 PM,19-Feb-2021 06:00 PM,08-Mar-2021 11:00 AM,Executive Engineer,Executive Engineer NH Division Theog,PWD,PW.NH.THG.Ten-2020-4544-4624 dt.1.2.2021,2021_PWD_44331_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,68,000",No,fixed,,EE NH Theog,HP PWD NH Theog,1.0,DD - Demand Draft,Ordinary repair on NH.705 Theog Kotkhai Hatkoti road Km 0.0 to 69.0,C.O B.wall in PCC wire crate at 34.800 to 34.820 39.770 to 39.790 59.070 to 59.130 66.300 to 66.340 and R.wall in PCC M.15 at RD 26.930 to 26.945 34.690 to 34.710 39.690 to 39.705 43.300 to 43.315 58.590 to 58.610 and R.wall in wire crate at RD 3,Please refer Tender documents. ,NA ,"83,96,138",Civil Works - Roads,NA ,Tender,120.0,180.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer NH Division Theog,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per SBD,AOC,Er PP Singh,Internal,Miss Purnima Jain AO BK Goel AE Jagdish Sharma Supdt Kali Ram HDM,Prithi Pal Singh,03-Mar-2021 11:47 AM,08-Mar-2021 11:00 AM,techsummary_66463.pdf (491.14 KB),PWD,2021_PWD_44331_3,PW.NH.THG.Ten-2020-4544-4624 dt.1.2.2021,Ordinary repair on NH.705 Theog Kotkhai Hatkoti road Km 0.0 to 69.0,18-Aug-2021,"INR 8,396,143",180.0,Prithi Pal Singh,18-Aug-2021 03:20 PM,AOCR.pdf (1159.00 KB),AOC,Er PP Singh,Internal,BK Goel AE Miss Purnima Jain DA Jagdish Sharma Supdt Kali Ram HDM,Prithi Pal Singh,18-Aug-2021 03:14 PM,finsummary_66463.pdf (572.42 KB),1.0,199316.0,Rakesh Verma,INR,"7,289,928",Finance,summary,Prithi Pal Singh,10-Mar-2021 03:26 PM,finance_66463.pdf,BOQ Comparative Chart,1.0,199326.0,Happinder Sood,19-Feb-2021 04:19 PM,Rejected-Technical,Non responsive,03-Mar-2021 11:47 AM,Technical,summary,Prithi Pal Singh,03-Mar-2021 11:01 AM,technical_66463.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money deposit as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,199316.0,Rakesh Verma,19-Feb-2021 03:38 PM,Accepted-AOC,Responsive,18-Aug-2021 03:20 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tools and plant as per SBD",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of CA showing total annual volume in last five years,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
