S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,203280.0,shubham construction,INR,"917,957",Finance,Financial bid opening summary,Kulbir Singh Thakur,31-Mar-2021 07:18 PM,finance_67875.pdf,BOQ Comparative Chart,Technical,Technical bid opening summary,Kulbir Singh Thakur,31-Mar-2021 02:41 PM,technical_67875.pdf,1.0,203243.0,naresh vij govt contractor,14-Mar-2021 01:30 PM,Rejected-AOC,L2,05-Aug-2021 05:10 PM,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hamender sharma HDM and smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,05-Aug-2021 05:07 PM,finsummary_67875.pdf (139.76 KB),05-Aug-2021,"INR 917,957",30.0,Arvind Kumar,05-Aug-2021 05:10 PM,AOC.pdf (377.00 KB),Award of contract,PWD,2021_PWD_45165_1,13709-16 dated 23.02.2021 AMP for Tikkari Tannaji,AMP for the Year 2021-22 for Tikkari Tannaji Lakhoti road Km0/00 to 11/580 Village road,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Haminder Sharma HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Kulbir Singh Thakur,31-Mar-2021 03:08 PM,31-Mar-2021 03:10 PM,techsummary_67875.pdf (21.78 KB),AOC,06-Mar-2021 10:00 AM,17-Mar-2021 11:00 AM,06-Mar-2021 10:00 AM,17-Mar-2021 10:30 AM,NA ,NA ,06-Mar-2021 10:00 AM,17-Mar-2021 10:30 AM,31-Mar-2021 03:10 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F General Rule NO24.1,PWD,13709-16 dated 23.02.2021 AMP for Tikkari Tannaji,2021_PWD_45165_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer B and R Division HPPWD Solan,Near New Bus Stand Bye pass road Solan,350.0,EE B and R Division HPPWD Solan,EE Solan,No,AMP for the Year 2021-22 for Tikkari Tannaji Lakhoti road Km0/00 to 11/580 Village road,SH Providing and laying renewal coat by providing Bituminous Concrete in Km0/0 to 1/0 including road marking,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,1.0,DD - Demand Draft,0.0,No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,203766.0,PIUSH VIJ,16-Mar-2021 01:26 PM,Rejected-AOC,L3,05-Aug-2021 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractors registraiton reffer general rules and directions No 24.3 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,203280.0,shubham construction,14-Mar-2021 04:23 PM,Accepted-AOC,L1,05-Aug-2021 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,GST registraton refer general rules and Directions no 24.4 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 24.6 of SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload pdf documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
