S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,198482.0,tanushree trader,INR,"555,280","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_44038_5,NHN-SMR00-722- 13181-13231 dt 4-02-2021,Providing FHTC of LWSS Nagal Suketi under JJM in G.P. Kala Amb Tehsil Nahan,Er Mandeep Gupta EE,Internal,Dm HDM EE,Ashish Rana,19-Aug-2021 02:46 PM,finsummary_65918.pdf (649.98 KB),Technical,Technical Bid OPening Summary,Mandeep Gupta,04-Mar-2021 03:31 PM,technical_65918.pdf,Finance,Financial Bid OPening Summary,Mandeep Gupta,04-Mar-2021 04:26 PM,finance_65918.pdf,BOQ Comparative Chart,19-Aug-2021,"INR 933,831",90.0,Ashish Rana,19-Aug-2021 02:48 PM,AOC.pdf (650.00 KB),Award to Contrator,1.0,198634.0,Dalip Singh,14-Feb-2021 10:38 PM,Rejected-Finance,Rejected,19-Aug-2021 02:46 PM,Dr. Mandeep Gupta EE,Internal,HDM DAO Supdt TA EE,Mandeep Gupta,04-Mar-2021 03:35 PM,04-Mar-2021 03:40 PM,techsummary_65918.pdf (99.25 KB),AOC,"18,677",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,ICICI BANK,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 13181-13231 dt 4-02-2021,2021_HPIPH_44038_5,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Providing FHTC of LWSS Nagal Suketi under JJM in G.P. Kala Amb Tehsil Nahan,Laying and jointing of GMS pipe for House Hold Connection of 220 Nos.,Please refer Tender documents. ,NA ,"9,33,831",Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,06-Feb-2021 05:00 PM,15-Feb-2021 11:30 AM,06-Feb-2021 05:00 PM,15-Feb-2021 11:00 AM,NA ,NA ,06-Feb-2021 05:00 PM,15-Feb-2021 11:00 AM,04-Mar-2021 03:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,198482.0,tanushree trader,13-Feb-2021 10:33 PM,Accepted-AOC,AOC,19-Aug-2021 02:48 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Copy of EPF No as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Undertaking Jont Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,PAN and GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and condiitin as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
