S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,218069.0,Sanjeev,INR,"2,441,340",Finance,Bid opening summary,Manish Sehgal,05-Aug-2021 03:57 PM,finance_72462.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Manish Sehgal,28-Jun-2021 02:38 PM,technical_72462.pdf,1.0,218232.0,M/s Kamala Enterprises,21-Jun-2021 08:43 PM,Rejected-AOC,Bid Rank-L2,05-Aug-2021 04:01 PM,Sh Manish Sehgal,Internal,Himanshu Verma AE Harjeet Singh Supdt Suresh Kumar HDM Manjeet Kumar Jr Asstt,Manish Sehgal,05-Aug-2021 03:59 PM,finsummary_72462.pdf (434.85 KB),05-Aug-2021,"INR 2,441,340",90.0,Manish Sehgal,05-Aug-2021 04:01 PM,AOC.pdf (1059.00 KB),AOC,PWD,2021_PWD_48021_2,Menjha to upper Menjha road Km 1/570 to 3/000,Restoration of rain damages on Menjha to upper Menjha road KM 0/000 to 4/270,Sh Manish Sehgal,Internal,Harjeet Singh Supdt Suresh Kumar HDM Dayal Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,28-Jun-2021 02:43 PM,28-Jun-2021 03:00 PM,techsummary_72462.pdf (918.50 KB),AOC,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,1.0,ICICI BANK,PWD,Menjha to upper Menjha road Km 1/570 to 3/000,2021_PWD_48021_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,"34,700",No,fixed,,Nil,Nil,14-Jun-2021 10:00 AM,22-Jun-2021 11:30 AM,14-Jun-2021 10:05 AM,22-Jun-2021 11:00 AM,NA ,NA ,14-Jun-2021 10:30 AM,22-Jun-2021 11:00 AM,28-Jun-2021 03:00 PM,Restoration of rain damages on Menjha to upper Menjha road KM 0/000 to 4/270,Providing and laying Bitumen Mecadem in damaged portion in various RDs in between Km 1/570 to 3/000,Please refer Tender documents. ,NA ,"18,07,765",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,218069.0,Sanjeev,19-Jun-2021 03:48 PM,Accepted-AOC,Bid Rank-L1,05-Aug-2021 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
