Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
16-Apr-2021 05:00 PM,26-Apr-2021 11:30 AM,16-Apr-2021 06:00 PM,24-Apr-2021 06:00 PM,NA ,NA ,16-Apr-2021 06:00 PM,24-Apr-2021 06:00 PM,29-Apr-2021 11:00 AM,"Executive Engineer,","Theog Division, H.P.P.W.D., Theog",1.0,QQ,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in the shape of DD (As per Schedule-F 6.3),1.0,DD - Demand Draft,"1,02,000",No,fixed,,EETheog,Theog,Construction of PHC Building at Basadhar in Tehsil Theog District Shimla H.P.,"Building portion W.W and S.I. rain harvesting tank, septic tank and site development etc,",Please refer Tender documents. ,NA ,"68,86,121",Civil Works - Buildings,NA ,Tender,90.0,180.0,Theog Tehsil TJHEPG,171201.0,NA ,NA ,NA ,Theog Division,No ,No,PWD,PW.THD/CB-tender/17779-90,2021_PWD_46575_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,000",EE Theog,Theog,No,AOC,PWD,2021_PWD_46575_1,PW.THD/CB-tender/17779-90,Construction of PHC Building at Basadhar in Tehsil Theog District Shimla H.P.,Er.Vijay Kumar Chauhan,Internal,"Deepak Sharma, Sr.DAO, L.R. Shandil, HDM, Satya Pal, Supdt. Gr-II, Leela Verma , Sr. Asstt.",Vijay Kumar Chauhan,28-Apr-2021 03:05 PM,29-Apr-2021 11:00 AM,techsummary_70018.pdf (444.80 KB),"Suresh Kapoor, S.E 4th Circle,",Internal,"Executive Engineer, (D) 4th Circle, Circle Head D/man",Vijay Kumar Chauhan,24-Aug-2021 10:35 AM,finsummary_70018.pdf (1102.84 KB),24-Aug-2021,"INR 6,886,121",180.0,Vijay Kumar Chauhan,25-Aug-2021 12:57 PM,Award.pdf (1437.00 KB),Award,1.0,209688.0,kuldeev verma,23-Apr-2021 04:02 PM,Accepted-AOC,Awarded to lowest being L1,25-Aug-2021 12:57 PM,Technical,Bid Opening Summary,Vijay Kumar Chauhan,26-Apr-2021 04:25 PM,technical_70018.pdf,1.0,209688.0,kuldeev verma,INR,"9,443,311",Finance,Financial summary,Shakti Kumar Negi,10-May-2021 11:01 AM,finance_70018.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,.pdf,Earnest Money in the shape of FDR (As Schedule-F 6.5.) duly pledged in favour of E.E. Thoeg Division,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,209625.0,Vinod Chauhan,23-Apr-2021 01:48 PM,Rejected-Finance,Being higher rate,24-Aug-2021 10:35 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule-21).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"Detail of works in hand, Work done Minimum one similar work done of amount not less than forty per",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Annual turnover /balance sheet for the last five years duly approved by C.A (Refer Rule No-28.2 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants (as per Schedule-F with reference to clause-18) as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Form No-8 duly signed (refer General Rule No-26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
