EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"33,300",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,"Construction of School Building at Govt. Sr. Sec. School Danoghat, Distt. Solan (HP).","Construction of School Building at Govt. Sr. Sec. School Danoghat, Distt. Solan (HP).",Please refer Tender documents. ,NA ,"17,22,010",Civil Works - Buildings,NA ,Tender,120.0,270.0,Solan (Danoghat),173211.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,Executive Engineer,HPSIDC Ltd. Shimla,HP SIDC Limited,Job No. 1,2020_SIDC_34505_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,01-Feb-2020 11:00 AM,25-Feb-2020 11:00 AM,01-Feb-2020 11:00 AM,24-Feb-2020 05:00 PM,NA ,NA ,01-Feb-2020 11:00 AM,24-Feb-2020 05:00 PM,06-Mar-2020 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration (as per Tender Conditions),"2,000",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,AOC,07-Jul-2020,"INR 1,867,084",270.0,Sushant Singh Negi,02-Aug-2021 01:08 PM,dhanoghat.pdf (2046.00 KB),AOC,1.0,150636.0,Gaurav Chauhan,INR,"1,867,084",SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE(HQ),",Sushant Singh Negi,11-Mar-2020 04:43 PM,finsummary_50485.pdf (674.82 KB),HP SIDC Limited,2020_SIDC_34505_1,Job No. 1,"Construction of School Building at Govt. Sr. Sec. School Danoghat, Distt. Solan (HP).",Finance,Financial summary,Sushant Singh Negi,11-Mar-2020 04:37 PM,finance_50485.pdf,BOQ Comparative Chart,SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE",Sushant Singh Negi,05-Mar-2020 04:36 PM,06-Mar-2020 11:00 AM,techsummary_50485.pdf (794.46 KB),Technical,Opening summary,Sushant Singh Negi,27-Feb-2020 01:10 PM,technical_50485.pdf,1,150202,akanksha bhardwaj,19-Feb-2020 03:39 PM,Rejected-Finance,Sixth lowest bidder,11-Mar-2020 04:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,150636,Gaurav Chauhan,24-Feb-2020 04:39 PM,Accepted-AOC,AOC,02-Aug-2021 01:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each or Rs. 100.00 lacs or more.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,149756,HEM LATA GUPTA,24-Feb-2020 04:18 PM,Rejected-Finance,Third lowest bidder,11-Mar-2020 04:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,150509,inder singh,22-Feb-2020 04:23 PM,Rejected-Finance,Seventh lowest bidder,11-Mar-2020 04:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,150344,Jugal Kishore,22-Feb-2020 06:42 PM,Rejected-Finance,Fifth lowest bidder,11-Mar-2020 04:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,150630,Manishsharma,24-Feb-2020 03:42 PM,Rejected-Finance,Eight lowest bidder,11-Mar-2020 04:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,150657,OM PRAKASH,24-Feb-2020 02:44 PM,Rejected-Finance,Ninth lowest bidder,11-Mar-2020 04:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,150560,rajneesh katna,24-Feb-2020 10:50 AM,Rejected-Finance,Fourth lowest bidder,11-Mar-2020 04:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,150421,Roop Lal,22-Feb-2020 03:30 PM,Rejected-Finance,Tenth lowest bidder,11-Mar-2020 04:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,150300,ROOP THAKUR,24-Feb-2020 11:49 AM,Rejected-Finance,Second lowest bidder,11-Mar-2020 04:43 PM,AOC
