Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Sh Manish Sehgal,Internal,Harjeet Singh Supdt Suresh Kumar HDM Rachna Sood Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,12-Aug-2021 01:18 PM,finsummary_68097.pdf (379.24 KB),12-Aug-2021,"INR 2,761,409",90.0,Manish Sehgal,12-Aug-2021 01:20 PM,AOC.pdf (983.00 KB),AOC,PWD,2021_PWD_45230_1,A.S Parour Kharoth..Thalial Purba km10 to 12,Providing and laying Annual Surfacing (Periodic Maintenance) on Parour Kharoth Gaggal-Khas Dheera Tapa Thaliyal Purba road Km 10/0 to 12/0 (during the year 2021-22) of MDR road,Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Rachna Sood Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,06-Apr-2021 01:34 PM,06-Apr-2021 03:00 PM,techsummary_68097.pdf (854.40 KB),Technical,Bid opening summary,Manish Sehgal,06-Apr-2021 01:33 PM,technical_68097.pdf,1.0,202686.0,M/s Kamala Enterprises,16-Mar-2021 08:08 AM,Accepted-AOC,Bid Rank-L1,12-Aug-2021 01:20 PM,Finance,Bid opening summary,Manish Sehgal,12-Aug-2021 01:14 PM,finance_68097.pdf,BOQ Comparative Chart,1.0,202686.0,M/s Kamala Enterprises,INR,"2,761,409",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,500.0,Nil,Nil,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,09-Mar-2021 11:00 AM,17-Mar-2021 11:30 AM,09-Mar-2021 11:05 AM,17-Mar-2021 11:00 AM,NA ,NA ,09-Mar-2021 11:30 AM,17-Mar-2021 11:00 AM,06-Apr-2021 03:00 PM,Providing and laying Annual Surfacing (Periodic Maintenance) on Parour Kharoth Gaggal-Khas Dheera Tapa Thaliyal Purba road Km 10/0 to 12/0 (during the year 2021-22) of MDR road,Providing and laying Tack coat and Bituminous Concrete in Km 10/0 to 12/0,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,Bhawarna,No ,No,"35,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,A.S Parour Kharoth..Thalial Purba km10 to 12,2021_PWD_45230_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,203168.0,Navneet Thakur,15-Mar-2021 03:45 PM,Rejected-AOC,Bid Rank-L2,12-Aug-2021 01:20 PM,,,,,,,,,,,,AOC,,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
