Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
03-Feb-2020 01:10 PM,25-Feb-2020 11:00 AM,03-Feb-2020 01:10 PM,24-Feb-2020 05:00 PM,NA ,NA ,03-Feb-2020 01:10 PM,24-Feb-2020 05:00 PM,23-Jul-2020 11:00 AM,Executive Engineer,HPSIDC Ltd. Shimla,HP SIDC Limited,Job No. 12,2020_SIDC_34550_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration (as per Tender Conditions),"2,700",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,Providing Electrical Installation in New Workshop Block at Govt. ITI Building Solan Distt. Solan (HP),Providing Electrical Installation in New Workshop Block at Govt. ITI Building Solan Distt. Solan (HP),Please refer Tender documents. ,NA ,"23,21,562",Electrical Works,NA ,Tender,120.0,180.0,Solan,173212.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,"42,300",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,AOC,Finance,Financial summary,Vikram Jeet,05-Aug-2020 01:19 PM,finance_50569.pdf,BOQ Comparative Chart,SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE(HQ)",Sushant Singh Negi,22-Jul-2020 05:28 PM,23-Jul-2020 11:00 AM,techsummary_50569.pdf (730.09 KB),Technical,Opening summary,Sushant Singh Negi,27-Feb-2020 01:17 PM,technical_50569.pdf,1.0,149812.0,ARUN KUMAR SHARMA,23-Feb-2020 01:07 PM,Rejected-Finance,Second lowest bidder,05-Aug-2020 02:58 PM,06-Oct-2020,"INR 2,032,714",180.0,Sushant Singh Negi,02-Aug-2021 01:12 PM,workshopei.pdf (2937.00 KB),AOC,1.0,150119.0,GURU NANAK ELECTRICALS,INR,"2,032,714",SE,Internal,"DM AE(HQ), Dy. Manager(P)",Sushant Singh Negi,05-Aug-2020 02:58 PM,finsummary_50569.pdf (483.33 KB),HP SIDC Limited,2020_SIDC_34550_1,Job No. 12,Providing Electrical Installation in New Workshop Block at Govt. ITI Building Solan Distt. Solan (HP),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,150119.0,GURU NANAK ELECTRICALS,23-Feb-2020 10:38 PM,Accepted-AOC,AOC,02-Aug-2021 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each or Rs. 100.00 lacs or more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,150647.0,MOHAN LAL SHARMA,24-Feb-2020 04:33 PM,Rejected-Finance,Third lowest bidder,05-Aug-2020 02:58 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed similar nature of Work done certificate as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,150077.0,Nand Ram,18-Feb-2020 05:44 PM,Rejected-Technical,The successfully completed similar type of work done minimum amount not less than 40 percent of estimated cost in last five years has not submitted as per condition of tender.,22-Jul-2020 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
