S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,167070.0,ABTAR SINGH AND COMPANY,16-Jul-2020 02:40 PM,Accepted-AOC,AOC,02-Aug-2021 01:14 PM,Technical,Tender Opening summary,Sushant Singh Negi,20-Jul-2020 10:53 AM,technical_56725.pdf,EE(HQ),Internal,"DM, AE(HQ), Dy. Manager(P)",Sushant Singh Negi,24-Jul-2020 04:50 PM,25-Jul-2020 11:00 AM,techsummary_56725.pdf (588.96 KB),Finance,Financial summary,Vikram Jeet,19-Aug-2020 12:11 PM,finance_56725.pdf,BOQ Comparative Chart,HP SIDC Limited,2020_SIDC_38384_1,Job No. 4,"Establishment of Cattle Sanctuary at Handa Kundi, Distt. Solan (HP). (SH- Drilling and development of one No. tube well).",EE,Internal,"DM, Dy. Manger (P)",Vikram Jeet,19-Aug-2020 12:21 PM,finsummary_56725.pdf (291.87 KB),1.0,167070.0,ABTAR SINGH AND COMPANY,INR,"1,452,200",03-Nov-2020,"INR 1,452,200",90.0,Sushant Singh Negi,02-Aug-2021 01:14 PM,abtarsingh.pdf (2306.00 KB),AOC,AOC,HP SIDC Limited,Job No. 4,2020_SIDC_38384_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Establishment of Cattle Sanctuary at Handa Kundi, Distt. Solan (HP). (SH- Drilling and development of one No. tube well).",Drilling and development of one No. tube well).,Please refer Tender documents. ,NA ,"5,23,100",Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,120.0,90.0,Baddi,173205.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,"10,500",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,600.0,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),Executive Engineer,HPSIDC Ltd. Shimla,1.0,ICICI BANK,26-Jun-2020 02:00 PM,17-Jul-2020 11:00 AM,26-Jun-2020 02:00 PM,16-Jul-2020 05:00 PM,NA ,NA ,26-Jun-2020 02:00 PM,16-Jul-2020 05:00 PM,25-Jul-2020 11:00 AM,AOC
2.0,167066.0,H.N.SINGH AND COMPANY,16-Jul-2020 02:52 PM,Rejected-Finance,Second lowest bidder,19-Aug-2020 12:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
3.0,167386.0,SUKHDEV ENGINEERING WORKS,16-Jul-2020 02:37 PM,Rejected-Finance,Third lowest bidder,19-Aug-2020 12:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect.,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each of Rs. 100.00 lacs or above.,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender condition),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC
