Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
05-Aug-2021,"INR 3,424,344",30.0,Arvind Kumar,05-Aug-2021 05:15 PM,AOC.pdf (333.00 KB),Award of contract,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hamender sharma HDM and smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,05-Aug-2021 05:13 PM,finsummary_68076.pdf (139.76 KB),Er Arvind Sharma EE B and R solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Haminder Sharma HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Kulbir Singh Thakur,31-Mar-2021 03:04 PM,31-Mar-2021 03:05 PM,techsummary_68076.pdf (21.78 KB),PWD,2021_PWD_45277_1,AMP for the Year 2021-22 for Shamti Chailla Anji,AMP Plan for the Year 2021-22 for Shamti Chilla Anji road Km0/00 to 3/405 VR,Technical,Technical bid opening summary,Kulbir Singh Thakur,31-Mar-2021 02:47 PM,technical_68076.pdf,1.0,203231.0,naresh vij govt contractor,14-Mar-2021 12:34 PM,Accepted-AOC,L1,05-Aug-2021 05:15 PM,1.0,203231.0,naresh vij govt contractor,INR,"3,424,344",Finance,Financial bid opening summary,Kulbir Singh Thakur,31-Mar-2021 07:24 PM,finance_68076.pdf,BOQ Comparative Chart,AOC,PWD,AMP for the Year 2021-22 for Shamti Chailla Anji,2021_PWD_45277_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500",EE B and R Division HPPWD Solan,EE Solan,No,08-Mar-2021 06:00 PM,24-Mar-2021 11:00 AM,08-Mar-2021 06:00 PM,24-Mar-2021 10:30 AM,NA ,NA ,08-Mar-2021 06:00 PM,24-Mar-2021 10:30 AM,31-Mar-2021 03:05 PM,Executive Engineer B and R Division HPPWD Solan,Near New Bus Stand Bye pass road Solan,AMP Plan for the Year 2021-22 for Shamti Chilla Anji road Km0/00 to 3/405 VR,SH Providing and laying renewal coat by providing Bitumenous concrete in Km1/0 to 3/410 including road marking,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F General Rule NO24.1,"53,100",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,205506.0,PIUSH VIJ,23-Mar-2021 05:02 PM,Rejected-AOC,L2,05-Aug-2021 05:15 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration reffer general rules and directions No 24.3 of SBD,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration refer general rules and Directions no 24.4 of SBD,,,,,,,3.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit fur",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload pdf documents,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,AOC
