Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
08-Jul-2021 10:00 AM,16-Jul-2021 11:30 AM,08-Jul-2021 10:00 AM,15-Jul-2021 06:00 PM,08-Jul-2021 10:00 AM ,14-Jul-2021 04:00 PM ,08-Jul-2021 10:00 AM,15-Jul-2021 06:00 PM,28-Jul-2021 10:30 AM,Executive Engineer,Dehra Division HPPWD Dehra,Restoration of rain damages on Dehra Banna road in Km. 0/0 to 10/0 under HPPWD Sub-Division Dehra,Construction of cement concrete pavement at RD 3/825 to 3/860 and 4/200 to 4/300,Please refer to tender documents ,NA ,,Civil Works - Roads,Repair of road ,Tender,75.0,90.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,"24,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,1.0,ICICI BANK,PWD,EE Dehra letter No.2516-20 dated 30.06.2021,2021_PWD_49606_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,AOC,PWD,2021_PWD_49606_3,EE Dehra letter No.2516-20 dated 30.06.2021,Restoration of rain damages on Dehra Banna road in Km. 0/0 to 10/0 under HPPWD Sub-Division Dehra,Er Dinesh Kumar Dhiman EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt. Sushma Sharma DHD,Dinesh Kumar Dhiman,27-Jul-2021 05:39 PM,28-Jul-2021 10:30 AM,techsummary_74245.pdf (330.81 KB),ER Dinesh Dhiman EE,Internal,Er Raghubir Singh Ae to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Dinesh Kumar Dhiman,15-Aug-2021 02:29 PM,finsummary_74245.pdf (170.09 KB),15-Aug-2021,"INR 1,217,319",90.0,Dinesh Kumar Dhiman,15-Aug-2021 03:25 PM,Award-49606-3.pdf (617.00 KB),Work Awarded,1.0,223393.0,SHUBHAM THAKUR,15-Jul-2021 02:30 PM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 03:25 PM,Technical,Bid opening summary,Dinesh Kumar Dhiman,25-Jul-2021 02:55 PM,technical_74245.pdf,1.0,222844.0,SUSHIL KUMAR,INR,"1,333,148",Finance,Financial bid opening summary,Dinesh Kumar Dhiman,15-Aug-2021 02:17 PM,finance_74245.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,223196.0,shyam sharma,14-Jul-2021 02:49 PM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,222844.0,SUSHIL KUMAR,14-Jul-2021 03:24 PM,Accepted-AOC,Work awarded being lowest bidder,15-Aug-2021 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,223287.0,Vijesh Kumar,15-Jul-2021 09:54 AM,Rejected-AOC,Rejected being highest bidder,15-Aug-2021 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
