Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
31-Aug-2021,"INR 2,154,164",180.0,Naresh Raj Chandel,31-Aug-2021 01:19 PM,AOCDoghariSchool.pdf (825.00 KB),AOC issued,Er. D.R. Chauhan Executive Engineer,Internal,Sh. Amar Singh HDM,Naresh Raj Chandel,31-Aug-2021 01:18 PM,finsummary_74458.pdf (825.24 KB),Er. D.R. Chauhan Executive Engineer,Internal,Er. Hitesh Sharma A.E. Member Sh. Sushil Kumar DAO Member Sh. Amar Singh HDM Member Sh. Rattan Lal Supdt Accounts Member,Naresh Raj Chandel,26-Jul-2021 05:23 PM,28-Jul-2021 02:00 PM,techsummary_74458.pdf (588.13 KB),PWD,2021_PWD_49766_1,PW-SNR-CB-E-Tender/20- 2618-25 dt.28.06.2021,Construction of additional accommodation in Govt. Sen. Sec. School at Dogri Tehsil Nihri Distt. Mandi (HP),1.0,223569.0,NARENDER SINGH,INR,"2,154,164",Finance,FBOS,Naresh Raj Chandel,29-Jul-2021 02:39 PM,finance_74458.pdf,BOQ Comparative Chart,Technical,BOS,Naresh Raj Chandel,26-Jul-2021 05:11 PM,technical_74458.pdf,1.0,223597.0,GOVIND RAM,17-Jul-2021 02:17 PM,Rejected-AOC,Not being lowest,31-Aug-2021 01:19 PM,AOC,1.0,change in name of work,Other,,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,500.0,EE Sundernagar,Sundernagar,No,"35,500",No,fixed,,EE Sundernagar,Sundernagar,12-Jul-2021 06:00 PM,20-Jul-2021 11:30 AM,12-Jul-2021 06:00 PM,20-Jul-2021 10:00 AM,NA ,NA ,12-Jul-2021 06:00 PM,20-Jul-2021 10:00 AM,28-Jul-2021 02:00 PM,PWD,PW-SNR-CB-E-Tender/20- 2618-25 dt.28.06.2021,2021_PWD_49766_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Construction of additional accommodation in Govt. Sen. Sec. School at Dogri Tehsil Nihri Distt. Mandi (HP),SH C/o single storey framed structure for two classrooms including stair case.,As per bid document ,NA ,"17,54,126",Civil Works,Building ,Tender,75.0,180.0,In Sundernagar Division,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,223884.0,Manendar Kumar,19-Jul-2021 04:40 PM,Not Admitted-Fee/PreQual/Technical,Others-Did not submit the hard copy in time,26-Jul-2021 05:11 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,2.0,ICICI NEFT/RTGS,,,.pdf,The earnest money indicated in schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,223569.0,NARENDER SINGH,17-Jul-2021 02:29 PM,Accepted-AOC,Being lowest,31-Aug-2021 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,.pdf,Contractors registration refer general rules No.23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC
