Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
21-Aug-2021,"INR 3,937,240",180.0,Prithi Pal Singh,21-Aug-2021 03:34 PM,AOC1.pdf (1372.00 KB),AOC,Er PP Singh,Internal,BK Goel AE Miss Purnima Jain DA Jagdish Sharma Supdt Kali Ram HDM,Prithi Pal Singh,21-Aug-2021 03:29 PM,finsummary_66466.pdf (413.62 KB),Er PP Singh,Internal,Miss Purnima Jain DA BK Goel AE Jagdish Sharma Supdt Kali Ram HDM,Prithi Pal Singh,03-Mar-2021 11:58 AM,08-Mar-2021 11:00 AM,techsummary_66466.pdf (599.12 KB),PWD,2021_PWD_44331_4,PW.NH.THG.Ten-2020-4544-4624 dt.1.2.2021,Ordinary Repair to NH 72 B Paonta Rajban Shillai Meenus Hatkoti road Km 0.0 to 161.715,Finance,summary,Prithi Pal Singh,10-Mar-2021 03:32 PM,finance_66466.pdf,BOQ Comparative Chart,1.0,199266.0,SURINDER THAKUR,INR,"3,115,080",Technical,summary,Prithi Pal Singh,03-Mar-2021 11:03 AM,technical_66466.pdf,1.0,199329.0,Happinder Sood,19-Feb-2021 04:30 PM,Rejected-Technical,Non responsive,03-Mar-2021 11:58 AM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per SBD,Ordinary Repair to NH 72 B Paonta Rajban Shillai Meenus Hatkoti road Km 0.0 to 161.715,SH C.o PCC R.wall at RD 151.225 to 151.255,Please refer Tender documents. ,NA ,"39,37,240",Civil Works - Roads,NA ,Tender,120.0,180.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer NH Division Theog,No ,No,"79,000",No,fixed,,EE NH Theog,HP PWD NH Theog,12-Feb-2021 05:30 PM,20-Feb-2021 11:00 AM,12-Feb-2021 05:30 PM,19-Feb-2021 06:00 PM,NA ,NA ,12-Feb-2021 05:30 PM,19-Feb-2021 06:00 PM,08-Mar-2021 11:00 AM,Executive Engineer,Executive Engineer NH Division Theog,PWD,PW.NH.THG.Ten-2020-4544-4624 dt.1.2.2021,2021_PWD_44331_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EE NH Theog,HP PWD NH Theog,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,199055.0,Sunil Khachi,18-Feb-2021 11:05 AM,Rejected-Technical,Non responsive,03-Mar-2021 11:58 AM,AOC,,,.pdf,Earnest money deposit as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,199075.0,Suresh Vekta,18-Feb-2021 12:10 PM,Rejected-Technical,Non responsive,03-Mar-2021 11:58 AM,AOC,,,.pdf,Contractor Registration as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,199266.0,SURINDER THAKUR,19-Feb-2021 05:46 PM,Accepted-AOC,Responsive,21-Aug-2021 03:34 PM,AOC,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,199308.0,VIKRAM SINGH GOVT. CONTRACTOR,19-Feb-2021 04:35 PM,Rejected-Technical,Non responsive,03-Mar-2021 11:58 AM,AOC,,,.pdf,"List of machinery, tools and plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Report of CA showing total annual volume in last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
