Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Financial Bids of the successful bidders may be opened,Joy Sekhar Chakraborty,13-May-2021 01:43 PM,technical_33387.pdf,Department of Water Resources||Chief Engineer - DoWR,2021_DoWR_21408_1,UAID/RIDF/KHUTIAPOTA/2020-21-1,Anti- erosion measures to protect Khutiapota area from the erosion of river Brahmaputra.,"Additional Chief Engineer, Upper Assam Zone, W. R. Department, Dibrugarh",Internal,"ACE,UAZ/DIRECTO/DY.DIRECTOR/EE/AEE,CONCERNED/A.O./TECH.ASSTT.WITH DSC",Bhupen Bora,07-Aug-2021 10:28 AM,finsummary_33387.pdf (755.36 KB),1.0,116813.0,NK AGARWALLA,INR,17064653.57,1,116664,AKHIL KUMAR JAIN-ASHOK KUMAR JAIN-JV,16-Mar-2021 01:15 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,07-Aug-2021 10:31 AM,"Additional Chief Engineer, Upper Assam Zone, W. R. Department, Dibrugarh",Internal,"Addl. Chief Engineer, UAZ, W. R. Department, Dibrugarh Director, O/o the Addl. Chief Engineer, UAZ, WRD Dy. Director, O/o. the Addl. Chief Engineer, UAZ, WRD AEE (TC), O/o the Addl. CE, UAZ, WRD",Joy Sekhar Chakraborty,13-May-2021 01:47 PM,13-May-2021 01:50 PM,techsummary_33387.pdf (51.58 KB),Finance,Updated CS may be prepared.,Joy Sekhar Chakraborty,13-May-2021 02:50 PM,,BOQ Comparative Chart,07-Aug-2021,INR 17064653.57,90.0,Bhupen Bora,07-Aug-2021 10:31 AM,khutiapota.pdf (2008.00 KB),Anti- erosion measures to protect Khutiapota area from the erosion of river Brahmaputra,AOC,"3,79,236",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,"4,000",Nil,Nil,No,"Addl. Chief Engineer, UAZ, W. R. Deptt. Dibrugarh","Addl. Chief Engineer, UAZ, W. R. Deptt. Dibrugarh",1.0,Extension Notice,Date,,Department of Water Resources||Chief Engineer - DoWR,UAID/RIDF/KHUTIAPOTA/2020-21-1,2021_DoWR_21408_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,23-Feb-2021 06:30 PM,17-Mar-2021 02:00 PM,23-Feb-2021 06:30 PM,16-Mar-2021 02:00 PM,NA ,NA ,27-Feb-2021 10:00 AM,16-Mar-2021 02:00 PM,13-May-2021 01:50 PM,Anti- erosion measures to protect Khutiapota area from the erosion of river Brahmaputra.,Anti- erosion measures to protect Khutiapota area from the erosion of river Brahmaputra.,Please refer Tender documents. ,NA ,"1,89,61,779",Civil Works,NA ,Tender,180.0,90.0,Jorhat,785001.0,NA ,NA ,NA ,Dibrugarh,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,2,116083,DHRUBAJIT CHETIA,13-Mar-2021 04:48 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,07-Aug-2021 10:31 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,116830,KHEMSA TRADERS AND DEVELOPERS,16-Mar-2021 01:19 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,07-Aug-2021 10:31 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,116795,M/S Star Constructions and Sri Ganesh Neog JV,14-Mar-2021 07:02 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,07-Aug-2021 10:31 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,116813,NK AGARWALLA,15-Mar-2021 07:07 PM,Accepted-AOC,AOC,07-Aug-2021 10:31 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,116663,NORTH EAST ENTERPRISE,16-Mar-2021 01:10 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,07-Aug-2021 10:31 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,116802,PABITRA SAIKIA NILA SAIKIA JOINT VENTURE,16-Mar-2021 07:25 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,07-Aug-2021 10:31 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,116839,SANJIB BORUAH TAPAN MEDHI (JV),15-Mar-2021 10:51 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,07-Aug-2021 10:31 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,116702,S. D. Enterprise,16-Mar-2021 01:13 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,07-Aug-2021 10:31 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,116758,SURESH AGARWALLA-MOHAN DAS-JV,16-Mar-2021 08:22 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,07-Aug-2021 10:31 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
