Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er Arvind sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Hamender sharma HDM and smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,05-Aug-2021 01:09 PM,finsummary_68074.pdf (191.14 KB),05-Aug-2021,"INR 7,212,404",30.0,Arvind Kumar,05-Aug-2021 01:10 PM,AOC.pdf (381.00 KB),Award of contract,PWD,2021_PWD_45275_1,AMP for the Year 2021-22 Kufri Chail Kandaghat roa,AMP for the Year 2021-22 for Kufri Chail Kandaghat road Km25/0 to 57/0 MDR,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Seniro DAO Solan Shri Haminder Sharma HDM and Smt Rekha Kashyap Supdt grade II PMGSY,Kulbir Singh Thakur,31-Mar-2021 03:36 PM,31-Mar-2021 03:40 PM,techsummary_68074.pdf (21.78 KB),Technical,Technical bid opening summary,Kulbir Singh Thakur,31-Mar-2021 03:33 PM,technical_68074.pdf,1.0,203232.0,naresh vij govt contractor,14-Mar-2021 12:44 PM,Accepted-AOC,L1,05-Aug-2021 01:10 PM,Finance,Financial bid opening summary,Kulbir Singh Thakur,31-Mar-2021 07:15 PM,finance_68074.pdf,BOQ Comparative Chart,1.0,203232.0,naresh vij govt contractor,INR,"7,212,404",AOC,08-Mar-2021 06:00 PM,24-Mar-2021 11:00 AM,08-Mar-2021 06:00 PM,24-Mar-2021 10:30 AM,NA ,NA ,08-Mar-2021 06:00 PM,24-Mar-2021 10:30 AM,31-Mar-2021 03:40 PM,"95,365",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,PWD,AMP for the Year 2021-22 Kufri Chail Kandaghat roa,2021_PWD_45275_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F General Rule NO24.1,Executive Engineer B and R Division HPPWD Solan,Near New Bus Stand Bye pass road Solan,1.0,DD - Demand Draft,AMP for the Year 2021-22 for Kufri Chail Kandaghat road Km25/0 to 57/0 MDR,SH Providing and laying renewal coat by providing Bituminous Concrete in Km45/0 to 49/0,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,"5,000",EE B and R Division HPPWD Solan,EE Solan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,205489.0,PIUSH VIJ,23-Mar-2021 04:16 PM,Rejected-Finance,L2,05-Aug-2021 01:09 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration reffer general rules and directions No 24.3 of SBD,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration refer general rules and Directions no 24.4 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit fur",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload pdf documents,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
