Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Dr Suresh Kumar Walia,Internal,Er Ankit AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,29-Jul-2021 01:09 PM,finsummary_73515.pdf (197.64 KB),16-Aug-2021,"INR 1,111,111",90.0,Suresh Kumar Walia,16-Aug-2021 03:34 PM,Award.pdf (396.00 KB),Award,PWD,2021_PWD_49051_2,PWD- Civil-2985-3014-Tanda,Construction of Radh Lilly Dhar Sakot road in Distt Kangra (HP).(SH-Providing and laying cement concrete pavement at various RDs between Km 5/000 to 7/000),Dr Suresh Kumar Walia,Internal,Er Ankit AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,23-Jul-2021 02:29 PM,26-Jul-2021 02:00 PM,techsummary_73515.pdf (696.71 KB),Technical,Sum,Suresh Kumar Walia,23-Jul-2021 02:27 PM,technical_73515.pdf,1.0,220643.0,Abhinav Thakur,02-Jul-2021 11:18 AM,Rejected-Finance,Lowest 4,29-Jul-2021 01:09 PM,1.0,221322.0,SURINDER KUMAR,INR,"1,111,111",Finance,Sum,Ankit Kumar,28-Jul-2021 11:09 AM,finance_73515.pdf,BOQ Comparative Chart,AOC,"32,200",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,28-Jun-2021 09:00 AM,13-Jul-2021 11:30 AM,28-Jun-2021 09:00 AM,12-Jul-2021 06:00 PM,NA ,NA ,28-Jun-2021 09:00 AM,12-Jul-2021 06:00 PM,26-Jul-2021 02:00 PM,Executive Engineer,Executive Engineer HP PWD Division Tanda,Construction of Radh Lilly Dhar Sakot road in Distt Kangra (HP).(SH-Providing and laying cement concrete pavement at various RDs between Km 5/000 to 7/000),Construction of Radh Lilly Dhar Sakot road in Distt Kangra (HP).(SH-Providing and laying cement concrete pavement at various RDs between Km 5/000 to 7/000),Please refer Tender documents. ,NA ,"16,46,308",Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Tanda,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender Form,PWD,PWD- Civil-2985-3014-Tanda,2021_PWD_49051_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,222338.0,Anchul Dogra,12-Jul-2021 02:38 PM,Rejected-Finance,Lowest 6,29-Jul-2021 01:09 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,222313.0,Bhag Singh,12-Jul-2021 03:02 PM,Rejected-Finance,Lowest 5,29-Jul-2021 01:09 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,222332.0,Dynamic Constructions,12-Jul-2021 11:13 AM,Rejected-Technical,Not fulfill criteria,23-Jul-2021 02:29 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,222607.0,Neeraj,12-Jul-2021 01:55 PM,Rejected-Finance,Lowest 2,29-Jul-2021 01:09 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,222537.0,sunny verma,12-Jul-2021 01:25 PM,Rejected-Finance,Lowest 3,29-Jul-2021 01:09 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,221322.0,SURINDER KUMAR,12-Jul-2021 12:35 PM,Accepted-AOC,L1,16-Aug-2021 03:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,AOC
