Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
27-Aug-2021,"INR 10,583,909",730.0,Ashish Rana,27-Aug-2021 05:14 PM,AOC.pdf (732.00 KB),Award to Contractor,Finance,Financial Bid Opening Summary,Mandeep Gupta,31-Dec-2020 12:44 PM,finance_64155.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Mandeep Gupta,31-Dec-2020 11:34 AM,technical_64155.pdf,Dr. Mandeep Gupta EE,Internal,TA Supdt HDM DAO EE,Mandeep Gupta,31-Dec-2020 11:40 AM,31-Dec-2020 11:45 AM,techsummary_64155.pdf (100.69 KB),1.0,194007.0,H. C. Bansal Engg. & Contt.,28-Dec-2020 09:56 AM,Rejected-Finance,Reject,27-Aug-2021 05:12 PM,1.0,193998.0,M/S Sharma Enterpirses,INR,"7,070,718","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_43272_3,NHN-SMR00-722- 10888-950 dt 15-12-2020,"Providing LWSS to PC habitation under GP Burmapapri, Koulanwala Bhood, Palion, Nahan and Bankala in Tehsil Nahan Distt Sirmour",ER JS Chauhan SE,Internal,CHD AED EED supdt WS EENahan SE,Ashish Rana,27-Aug-2021 05:12 PM,finsummary_64155.pdf (731.75 KB),AOC,"1,38,500",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,"Providing LWSS to PC habitation under GP Burmapapri, Koulanwala Bhood, Palion, Nahan and Bankala in Tehsil Nahan Distt Sirmour","Providing, Laying, jointing and testing of R/main SPI-X 42 and Laying and jointing of GMS pipes of various dia and Supply and errection of submersible pumping machinery in Bikram Bag, Burmapapri, Nahan and Shambhuwala section",Please refer Tender documents. ,NA ,"1,05,83,909",Pumps/Motors,NA ,Tender,120.0,730.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"1,500",Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,Corrigendum,Date,,1.0,ICICI BANK,17-Dec-2020 12:00 PM,28-Dec-2020 11:30 AM,17-Dec-2020 12:00 PM,28-Dec-2020 11:00 AM,NA ,NA ,17-Dec-2020 12:00 PM,28-Dec-2020 11:00 AM,31-Dec-2020 11:45 AM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 10888-950 dt 15-12-2020,2020_HPIPH_43272_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,193998.0,M/S Sharma Enterpirses,28-Dec-2020 08:27 AM,Accepted-AOC,AOC,27-Aug-2021 05:14 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Other,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,193978.0,shiv iron general engineers,27-Dec-2020 06:33 PM,Rejected-Finance,Reject,27-Aug-2021 05:12 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No and GST No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Dealership/subdealership of offered pumping machinery as mentioned in NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking of the curve charts along with selection of pumps and motors,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,AOC
