S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,193517.0,ARUN KUMAR SHARMA,27-Dec-2020 02:23 PM,Rejected-Finance,Third lowest bidder,01-Apr-2021 12:03 PM,SE,Internal,"EE(HQ), AE(HQ), AE(Elct), Manager(F), DM",Sushant Singh Negi,20-Mar-2021 04:31 PM,22-Mar-2021 11:00 AM,techsummary_63743.pdf (361.31 KB),Technical,summary,Sushant Singh Negi,20-Mar-2021 04:27 PM,technical_63743.pdf,Finance,Financial summary,Sushant Singh Negi,01-Apr-2021 11:58 AM,finance_63743.pdf,BOQ Comparative Chart,HP SIDC Limited,2020_SIDC_43007_1,Job No. 12,Construction of New Academic Block-I and II at Govt. College Una (HP). (SH-Providing Electrical Installation thereof).,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,01-Apr-2021 12:03 PM,finsummary_63743.pdf (526.41 KB),1.0,194047.0,KUMAR ELECTRONICS CO.,INR,"3,740,889",28-Jul-2021,"INR 3,740,889",180.0,Sushant Singh Negi,03-Aug-2021 04:57 PM,vijaykuamr.pdf (2117.00 KB),AOC,AOC,Construction of New Academic Block-I and II at Govt. College Una (HP). (SH-Providing Electrical Installation thereof).,Construction of New Academic Block-I and II at Govt. College Una (HP). (SH-Providing Electrical Installation thereof).,Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,120.0,180.0,Una (Mehatpur),174315.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,HP SIDC Limited,Job No. 12,2020_SIDC_43007_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor Registration (as per tender conditions),"83,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,HPSIDC Ltd. Shimla,"5,900",Nil,Nil,No,07-Dec-2020 04:45 PM,29-Dec-2020 11:00 AM,07-Dec-2020 04:45 PM,28-Dec-2020 05:00 PM,NA ,NA ,07-Dec-2020 04:45 PM,28-Dec-2020 05:00 PM,22-Mar-2021 11:00 AM,AOC
2.0,194047.0,KUMAR ELECTRONICS CO.,28-Dec-2020 03:36 PM,Accepted-AOC,AOC,03-Aug-2021 04:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
3.0,193594.0,MOLHOTRA ELECTRICALS,28-Dec-2020 04:28 PM,Rejected-Technical,Non responsive,20-Mar-2021 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,193584.0,Ratwan Light House,28-Dec-2020 03:01 PM,Rejected-Finance,Second lowest bidder,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,193651.0,SHARMA ELECTRICAL CO.,26-Dec-2020 02:02 PM,Rejected-Finance,Fourth lowest bidder,01-Apr-2021 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of successfully completed work done certificate as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of financial Turnover (with breakup),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of equipments/ Machineries and Technical staff,,,,,,,,,,,,,,,,,,,,,,,,AOC
