Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Name,Address,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2021_HPSEB_45722_1,184619/20-217781-87dt16032021,"Tender for providing 22kV HT line to proposed 63kVA, 22/0.4kV Sub- station Janeharh in Electrical Sub -Division , HPSEBL , Chhatri (NIT-194/2020-21)",1.0,205742.0,SUNEEL THAKUR ELECTRICAL,INR,"706,865",Er. Sushil Kumar,Internal,attached,Sushil Kumar,23-Jun-2021 01:18 PM,finsummary_68790.pdf (263.32 KB),1.0,206570.0,CHANDER KANTA GOVT CONT,31-Mar-2021 06:59 PM,Rejected-Finance,Higher Rate,23-Jun-2021 01:18 PM,Er. Sushil Kumar,Internal,Attached,Sushil Kumar,19-Apr-2021 05:28 PM,19-Apr-2021 05:30 PM,techsummary_68790.pdf (263.32 KB),23-Jun-2021,"INR 746,422",60.0,Sushil Kumar,23-Jun-2021 01:28 PM,JaneharhAward.pdf (2587.00 KB),NIT Amount,Technical,Attached,Sushil Kumar,19-Apr-2021 05:11 PM,technical_68790.pdf,Finance,attached,Sushil Kumar,23-Jun-2021 01:10 PM,finance_68790.pdf,BOQ Comparative Chart,AOC,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/20-217781-87dt16032021,2021_HPSEB_45722_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,cost of Tender form,"18,661",No,fixed,,EXECUTIVE ENGINEER ELECTRICAL DIV HPSEBL KARSOG,KARSOG,"1,180",EXECUTIVE ENGINEER ELECTRICAL DIV HPSEBL KARSOG,KARSOG,No,1.0,DATE EXTEND,Date,,"Tender for providing 22kV HT line to proposed 63kVA, 22/0.4kV Sub- station Janeharh in Electrical Sub -Division , HPSEBL , Chhatri (NIT-194/2020-21)","Tender for providing 22kV HT line to proposed 63kVA, 22/0.4kV Sub- station Janeharh in Electrical Sub -Division , HPSEBL , Chhatri (NIT-194/2020-21)",Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,90.0,60.0,CHHATRI,175047.0,NA ,NA ,NA ,ED KARSOG,No ,No,19-Mar-2021 11:00 AM,13-Apr-2021 11:00 AM,19-Mar-2021 11:00 AM,12-Apr-2021 11:00 AM,NA ,NA ,22-Mar-2021 11:00 AM,12-Apr-2021 11:00 AM,19-Apr-2021 05:30 PM,1.0,DD - Demand Draft,EE HPSEBL,KARSOG DISTT MANDI HP,AOC
,,,,,,,,,,,,,,,2.0,208028.0,SATPAL,09-Apr-2021 08:25 PM,Rejected-Finance,Higher Rate,23-Jun-2021 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,205742.0,SUNEEL THAKUR ELECTRICAL,08-Apr-2021 04:09 PM,Accepted-AOC,found lowest,23-Jun-2021 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Electrical Licence from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Certificate of Turnover from CA As per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,ork Experience as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt/Semi Govt institutions as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN,GST, EPF and Insurance policies for workmen as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Cancellation Check of firm as registration Vendor of Hpsebl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
