S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,DD - Demand Draft,EXECUTIVE OFFICER,MUNICIPAL COUNCIL NALAGARH,09-Apr-2021 02:00 PM,29-Apr-2021 03:00 PM,09-Apr-2021 02:00 PM,29-Apr-2021 10:30 AM,NA ,NA ,09-Apr-2021 02:00 PM,29-Apr-2021 10:30 AM,05-May-2021 04:15 PM,"13,200",No,fixed,,EXECUTIVE OFFICER,MUNICIPAL COUNCIL NALAGARH,500.0,EXECUTIVE OFFICER,MUNICIPAL COUNCIL NALAGARH,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,C/O boundary wall for MC Gaushala with protection wall and steel grate in ward no. 1 Nalagarh.,C/O boundary wall for MC Gaushala with protection wall and steel grate in ward no. 1 Nalagarh.,Please refer Tender documents. ,NA ,"6,61,733",Civil Works,NA ,Tender,90.0,90.0,Nalagarh,174101.0,NA ,NA ,NA ,MUNICIPAL COUCIL NALAGARH,No ,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(9)2020-21-20,2021_UDDHP_46348_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Samjay Kumar,Internal,"President, E.O., A.E.",Lalit Katoch,08-Jun-2021 02:45 PM,finsummary_69701.pdf (179.17 KB),1.0,209664.0,RAM BINDER SINGH,INR,"795,713",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2021_UDDHP_46348_1,1MC-NLG(9)2020-21-20,C/O boundary wall for MC Gaushala with protection wall and steel grate in ward no. 1 Nalagarh.,1.0,210411.0,Ajay Thakur,28-Apr-2021 09:41 PM,Rejected-Finance,Rejected being L2,08-Jun-2021 02:45 PM,Sanjay Kumar,Internal,E.O. and J.E.,Lalit Katoch,05-May-2021 03:00 PM,05-May-2021 04:15 PM,techsummary_69701.pdf (218.47 KB),08-Jun-2021,"INR 795,713.8",90.0,Lalit Katoch,08-Jun-2021 02:49 PM,aoc22.pdf (449.00 KB),work awarded,Technical,BID OPENING SUMMARY,Lalit Katoch,03-May-2021 02:48 PM,technical_69701.pdf,Finance,Financial bide opening,Lalit Katoch,05-May-2021 08:16 PM,finance_69701.pdf,BOQ Comparative Chart,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,210387.0,Hardeep Singh Bedi,28-Apr-2021 07:46 PM,Rejected-Finance,Rejected being L5,08-Jun-2021 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3.0,210242.0,IMRAN KHAN,27-Apr-2021 07:35 PM,Rejected-Finance,Rejected being L3,08-Jun-2021 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4.0,210347.0,IRSHAD KHAN,28-Apr-2021 04:35 PM,Rejected-Technical,Irresponsive,05-May-2021 03:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5.0,210336.0,keshav sharma,28-Apr-2021 08:56 PM,Rejected-Finance,Rejected being L4,08-Jun-2021 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6.0,209664.0,RAM BINDER SINGH,28-Apr-2021 04:08 PM,Accepted-AOC,Accepted,08-Jun-2021 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
