Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,"5,000",Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,No,Construction of Auditorium Block at Hipa Fair Lawn Shimla in Tehsil and District Shimla (HP,"SH C/O Building portions, W.S and S.I, Rain water harvesting tank, Septic tank and Site development etc",As per SBD ,NA ,,Civil Works,NA ,Tender,120.0,730.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,1.0,DD - Demand Draft,"5,00,000",No,fixed,,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,17-Dec-2020 06:00 PM,05-Jan-2021 11:00 AM,17-Dec-2020 06:00 PM,04-Jan-2021 04:00 PM,NA ,NA ,17-Dec-2020 06:00 PM,04-Jan-2021 04:00 PM,12-Jan-2021 11:00 AM,PWD,SD-I-CTR-2020-21-17362 dt 9-12-2020,2020_PWD_43271_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F),1.0,Corrigendum,Date,,AOC,ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,11-Jan-2021 04:40 PM,12-Jan-2021 11:00 AM,techsummary_64118.pdf (103.54 KB),PWD,2020_PWD_43271_1,SD-I-CTR-2020-21-17362 dt 9-12-2020,Construction of Auditorium Block at Hipa Fair Lawn Shimla in Tehsil and District Shimla (HP,03-Jun-2021,"INR 91,656,497",730.0,Sudhir Kumar Gupta,03-Jun-2021 09:56 AM,AOC43271_1.pdf (2878.00 KB),AOC,ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,03-Jun-2021 09:55 AM,finsummary_64118.pdf (93.64 KB),1.0,194714.0,AJAY KUTHIALA,03-Jan-2021 09:58 PM,Rejected-Technical,No,11-Jan-2021 04:44 PM,Technical,Bid opening summary,Ajay Kumar Soni,05-Jan-2021 04:29 PM,technical_64118.pdf,1.0,194207.0,rajesh kumar suman,INR,"113,247,570",Finance,Bid opening summary,Sudhir Kumar Gupta,12-Jan-2021 01:14 PM,finance_64118.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F),2.0,Corrigendum,Other,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,194182.0,Arun Kumar Thakur,04-Jan-2021 01:18 PM,Rejected-Finance,3rd Lowest,03-Jun-2021 09:55 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,194651.0,M/s Lakshay Construction,03-Jan-2021 03:09 PM,Rejected-Finance,2nd Lowest,03-Jun-2021 09:55 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,194420.0,P K Construction Shimla Pvt Ltd,31-Dec-2020 02:49 PM,Rejected-Finance,5th Lowest,03-Jun-2021 09:55 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,194207.0,rajesh kumar suman,04-Jan-2021 02:10 PM,Accepted-AOC,Awarded,03-Jun-2021 09:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,194823.0,Yashwant Singh Diwan,04-Jan-2021 03:47 PM,Rejected-Finance,4th Lowest,03-Jun-2021 09:55 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
