Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2021_HPSEB_45722_2,184619/20-217781-87dt16032021,"Tender for providing 22kV HT line to proposed 63kVA, 22/0.4kV Sub- station Kandha Deori in Electrical Sub -Division , HPSEBL , Chhatri (NIT-195/2020-21",1.0,206410.0,SUNEEL THAKUR ELECTRICAL,INR,"788,517",Er. Sushil Kumar,Internal,attached,Sushil Kumar,23-Jun-2021 01:23 PM,finsummary_68806.pdf (268.88 KB),Er.Sushil Kumar,Internal,Attached,Sushil Kumar,19-Apr-2021 05:17 PM,19-Apr-2021 05:20 PM,techsummary_68806.pdf (268.88 KB),1.0,206566.0,CHANDER KANTA GOVT CONT,31-Mar-2021 06:58 PM,Rejected-Finance,Higher rate,23-Jun-2021 01:23 PM,23-Jun-2021,"INR 823,338",60.0,Sushil Kumar,23-Jun-2021 01:30 PM,Kandadeoriaward.pdf (2586.00 KB),NIT Amount,Finance,attached,Sushil Kumar,23-Jun-2021 01:11 PM,finance_68806.pdf,BOQ Comparative Chart,Technical,Attached,Sushil Kumar,19-Apr-2021 05:12 PM,technical_68806.pdf,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,cost of Tender form,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/20-217781-87dt16032021,2021_HPSEB_45722_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,180",EXECUTIVE ENGINEER ELECTRICAL DIV HPSEBL KARSOG,KARSOG,No,19-Mar-2021 11:00 AM,13-Apr-2021 11:00 AM,19-Mar-2021 11:00 AM,12-Apr-2021 11:00 AM,NA ,NA ,22-Mar-2021 11:00 AM,12-Apr-2021 11:00 AM,19-Apr-2021 05:20 PM,1.0,DATE EXT,Date,,"Tender for providing 22kV HT line to proposed 63kVA, 22/0.4kV Sub- station Kandha Deori in Electrical Sub -Division , HPSEBL , Chhatri (NIT-195/2020-21","Tender for providing 22kV HT line to proposed 63kVA, 22/0.4kV Sub- station Kandha Deori in Electrical Sub -Division , HPSEBL , Chhatri (NIT-195/2020-21",Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,90.0,60.0,CHHATRI,175047.0,NA ,NA ,NA ,E D KARSOG,No ,No,EXECUTIVE ENGINEER ELECTRICAL DIV HPSEBL KARSOG,KARSOG,"20,583",No,fixed,,EXECUTIVE ENGINEER ELECTRICAL DIV HPSEBL KARSOG,KARSOG,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,208027.0,SATPAL,09-Apr-2021 08:21 PM,Rejected-Finance,Higher rate,23-Jun-2021 01:23 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,206410.0,SUNEEL THAKUR ELECTRICAL,08-Apr-2021 03:57 PM,Accepted-AOC,found lowest,23-Jun-2021 01:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Electrical Licence from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Certificate of Turnover from CA As per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,ork Experience as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Undertaking of no litigation in Govt/Semi Govt institutions as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Registration of PAN,GST, EPF and Insurance policies for workmen as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Cancellation Check of firm as registration Vendor of Hpsebl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
