Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,bid sumary,Ajay Kumar Sharma,26-Apr-2021 05:23 PM,finance_69656.pdf,BOQ Comparative Chart,1.0,208934.0,"Mr. Shiv Lal, Govt. Contractor",INR,"949,517",Technical,bid summary,Ajay Kumar Sharma,26-Apr-2021 03:50 PM,technical_69656.pdf,1,209027,BHAG SINGH GOVT CONTRACTOR,17-Apr-2021 07:21 PM,Rejected-Finance,Non Responsive due to L6 bidder,04-May-2021 01:31 PM,eechairman,Internal,Committee Members,Ajay Kumar Sharma,04-May-2021 01:31 PM,finsummary_69656.pdf (230.06 KB),07-Jun-2021,"INR 886,670",180.0,Ajay Kumar Sharma,07-Jun-2021 09:59 AM,AOC.29.pdf (327.00 KB),AOC,PWD,2021_PWD_46317_1,TA-05-10 dt. 01.04.2021,C/o L/R from Dalchaamb to SC Basti Rouri near Budh Ram House km 0/0 to 0/750,EE Chairman,Internal,All Committee Members,Ajay Kumar Sharma,26-Apr-2021 04:26 PM,26-Apr-2021 04:30 PM,techsummary_69656.pdf (230.06 KB),AOC,C/o L/R from Dalchaamb to SC Basti Rouri near Budh Ram House km 0/0 to 0/750,"ROFD and CD work in km 0/0 to 0/470 and C/o 900mm dia RCC Hume Pipe Culvert with wing wall at RD 0/120, 0/180 and 0/450",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,180.0,Nalagarh,174101.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Nalagarh,No ,No,Executive Engineer HP PWD Division Nalagarh,Executive Engineer HP PWD Division Nalagarh,1.0,ICICI BANK,"18,000",No,fixed,,Nil,Nil,PWD,TA-05-10 dt. 01.04.2021,2021_PWD_46317_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,08-Apr-2021 09:00 AM,19-Apr-2021 11:30 AM,08-Apr-2021 09:00 AM,19-Apr-2021 11:00 AM,NA ,NA ,08-Apr-2021 09:00 AM,19-Apr-2021 11:00 AM,26-Apr-2021 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and EMD indicated in Schedule F of SBD.,350.0,Nil,Nil,No,1.0,correction of EMD,Fee,,AOC
,,,,,,,,,,,,,,,,2,208897,Chander Mohan Chawla,17-Apr-2021 11:11 PM,Rejected-Finance,Non Responsive due to L5 bidder,04-May-2021 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Refer Gen. Rules and Direction of SBD.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,208990,CHET RAM,17-Apr-2021 04:22 PM,Rejected-Finance,Non Responsive due to L9 bidder,04-May-2021 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration /PAN/EPF Refer Gen. Rules and Direction of SBD.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,209053,HEM RAJ THAKUR,18-Apr-2021 11:42 AM,Rejected-Finance,Non Responsive due to L8 bidder,04-May-2021 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly filled and signed from No 7/8 General Rule and Direction of SBD.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,208934,"Mr. Shiv Lal, Govt. Contractor",18-Apr-2021 03:26 PM,Accepted-AOC,AOC done,07-Jun-2021 09:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,209001,naresh kumar govt. contt.,17-Apr-2021 07:28 PM,Rejected-Finance,Non Responsive due to L4 bidder,04-May-2021 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,209091,Pooja Kumari,18-Apr-2021 10:13 PM,Rejected-Finance,Non Responsive due to L2 bidder,04-May-2021 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,209102,RANJEET SINGH CHANDEL,19-Apr-2021 09:10 AM,Rejected-Finance,Non Responsive due to L3 bidder,04-May-2021 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,209089,rehana,19-Apr-2021 09:33 AM,Rejected-Finance,Non Responsive due to L7 bidder,04-May-2021 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,209041,VIRENDER SHARMA,18-Apr-2021 10:31 AM,Rejected-Finance,Non Responsive due to L10 bidder,04-May-2021 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
