Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Stage
23-Jun-2021,"INR 1,542,122",30.0,Arvind Chaudhary,27-Jun-2021 06:55 PM,Awardletter.pdf (797.00 KB),Awardletter,"Er. Rajesh Kumar, E.E.",Internal,"Er. Sunil Kumar. AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Arvind Chaudhary,17-Jun-2021 01:22 PM,finsummary_71781.pdf (483.11 KB),"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Arvind Chaudhary,16-Jun-2021 04:28 PM,17-Jun-2021 10:00 AM,techsummary_71781.pdf (776.29 KB),PWD,2021_PWD_47878_1,Job 1 Periodical maintenance Panjawar Bathri Road,"Job 1 Periodical maintenance Panjawar Bathri Road to Chak Khad VR089 Sub Head Patch work, 30mm thick BC, Zebra Crossing and side lines km. 0-0 to 1-800 UNDER STATE HEAD",1.0,215646.0,Shivalik Construction Company,INR,"1,641,628",Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,17-Jun-2021 01:15 PM,finance_71781.pdf,BOQ Comparative Chart,Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,10-Jun-2021 04:25 PM,technical_71781.pdf,1.0,215807.0,JOGRAJ GOVT CONTRACTOR,09-Jun-2021 06:50 PM,Rejected-AOC,ok,27-Jun-2021 06:55 PM,AOC,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"31,000",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,03-Jun-2021 10:00 AM,10-Jun-2021 11:00 AM,03-Jun-2021 10:00 AM,10-Jun-2021 09:00 AM,NA ,NA ,03-Jun-2021 10:00 AM,10-Jun-2021 09:00 AM,17-Jun-2021 10:00 AM,PWD,Job 1 Periodical maintenance Panjawar Bathri Road,2021_PWD_47878_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Job 1 Periodical maintenance Panjawar Bathri Road to Chak Khad VR089 Sub Head Patch work, 30mm thick BC, Zebra Crossing and side lines km. 0-0 to 1-800 UNDER STATE HEAD","Job 1 Periodical maintenance Panjawar Bathri Road to Chak Khad VR089 Sub Head Patch work, 30mm thick BC, Zebra Crossing and side lines km. 0-0 to 1-800 UNDER STATE HEAD",Please refer to Bidding Documents ,NA ,,Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,215795.0,Reena Kumari,09-Jun-2021 06:29 PM,Rejected-Technical,As per technical Evaluation Bids,16-Jun-2021 04:28 PM,AOC,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,215646.0,Shivalik Construction Company,09-Jun-2021 11:53 AM,Accepted-AOC,ok,27-Jun-2021 06:55 PM,AOC,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,215800.0,Sushil Kumar Govt Contractor,09-Jun-2021 07:40 PM,Rejected-Technical,As per technical Evaluation bids,16-Jun-2021 04:28 PM,AOC,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
