Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Fin bid opened,SHASHI PAL,06-Apr-2021 04:48 PM,finance_68472.pdf,BOQ Comparative Chart,1.0,206044.0,SUMESH KUMAR,INR,"3,337,484",Technical,Tech Bid opemed,SHASHI PAL,03-Apr-2021 10:23 AM,technical_68472.pdf,1.0,206184.0,Maynak Sharma,26-Mar-2021 02:14 PM,Rejected-AOC,Higher side,11-Jun-2021 01:06 PM,Er.S.P.Dhiman EE,Internal,Supdt. HDM AO,SHASHI PAL,06-Apr-2021 04:57 PM,finsummary_68472.pdf (417.71 KB),11-Jun-2021,"INR 3,337,484",60.0,SHASHI PAL,11-Jun-2021 01:06 PM,AOC.pdf (989.00 KB),Work Awarded,PWD,2021_PWD_45515_1,No.BGN/2020-21-17302-30 dated 03.03.2021Job2,Periodical Maintenance on Link road from Basal Puli Baba Rudru Dhamandri road,Er.S.P.Dhiman EE,Internal,Supdt HDM AO,SHASHI PAL,03-Apr-2021 10:24 AM,05-Apr-2021 10:30 AM,techsummary_68472.pdf (483.41 KB),AOC,PWD,No.BGN/2020-21-17302-30 dated 03.03.2021Job2,2021_PWD_45515_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,18-Mar-2021 11:00 AM,27-Mar-2021 11:00 AM,18-Mar-2021 11:30 AM,26-Mar-2021 06:00 PM,NA ,NA ,18-Mar-2021 11:30 AM,26-Mar-2021 06:00 PM,05-Apr-2021 10:30 AM,Periodical Maintenance on Link road from Basal Puli Baba Rudru Dhamandri road,P/L 30mm thick bituminous Concrete in Km 2/000 to 3/500)Under State Head,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"1,500",Executive Engineer HPPWD Division Bangana,Bangana,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),"47,200",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,AOC
,,,,,,,,,,,,,,,,2.0,206044.0,SUMESH KUMAR,26-Mar-2021 12:51 PM,Accepted-AOC,Lowest,11-Jun-2021 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed by the Contractor,,,,,,,AOC
