S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage
1.0,213033.0,naresh vij govt contractor,INR,"4,564,368",Finance,Bid opening summary,Parveen Kumar Verma,03-Jun-2021 04:57 PM,finance_71199.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Sudhir Kumar Gupta,24-May-2021 01:41 PM,technical_71199.pdf,1.0,212513.0,ashish kaushal,21-May-2021 11:51 AM,Rejected-Technical,No,24-May-2021 01:44 PM,ER. P.K. Verma,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Naresh Kumar,Parveen Kumar Verma,03-Jun-2021 04:59 PM,finsummary_71199.pdf (99.89 KB),05-Jun-2021,"INR 4,880,209",30.0,Parveen Kumar Verma,17-Jun-2021 03:45 PM,47423-1.pdf (423.00 KB),AOC,PWD,2021_PWD_47423_1,SD-III-CB-TENDER/21-22-1953-72 dated 04-05-21,Annul surfacing/renewal coat on road from cart road to Annadale KMs 0/00 to 4/160 (SH- Providing renewal coat of 30mm thick bituminous concrete KMs at RDs 1/500 to 4/160.),ER.Parveenkumarverma,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Naresh Kumar,Sudhir Kumar Gupta,24-May-2021 01:44 PM,24-May-2021 03:00 PM,techsummary_71199.pdf (1084.50 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),PWD,SD-III-CB-TENDER/21-22-1953-72 dated 04-05-21,2021_PWD_47423_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,000",Nil,Nil,No,Annul surfacing/renewal coat on road from cart road to Annadale KMs 0/00 to 4/160 (SH- Providing renewal coat of 30mm thick bituminous concrete KMs at RDs 1/500 to 4/160.),Annul surfacing/renewal coat on road from cart road to Annadale KMs 0/00 to 4/160 (SH- Providing renewal coat of 30mm thick bituminous concrete KMs at RDs 1/500 to 4/160.),As per bidding documents ,NA ,,Civil Works,NA ,Tender,60.0,30.0,"Vidhan Sabha, Shimla",171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,13-May-2021 05:00 PM,22-May-2021 11:00 AM,13-May-2021 05:00 PM,21-May-2021 05:00 PM,NA ,NA ,13-May-2021 05:00 PM,21-May-2021 05:00 PM,24-May-2021 03:00 PM,"28,150",No,fixed,,Nil,Nil,1.0,Change in fee,Fee,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",AOC
,,,,,,,,,,,,,,,,2.0,213174.0,Atul Sharma,21-May-2021 02:47 PM,Rejected-AOC,L2,17-Jun-2021 03:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,213033.0,naresh vij govt contractor,21-May-2021 09:57 AM,Accepted-AOC,L1,17-Jun-2021 03:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,213093.0,Satish Kumar Vij,21-May-2021 12:14 PM,Rejected-Technical,No,24-May-2021 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
