Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Fee/PreQual/Technical,.pdf,cost of tender and earnest money deposit,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"5,000","Executive Engineer, NH Division, HPPWD Solan","Executive Engineer, NH Division, HPPWD Solan",No,18-Mar-2021 05:00 PM,26-Mar-2021 11:00 AM,18-Mar-2021 05:00 PM,26-Mar-2021 10:30 AM,NA ,NA ,18-Mar-2021 05:00 PM,26-Mar-2021 10:30 AM,09-Apr-2021 04:10 PM,1.0,DD - Demand Draft,"Executive Engineer, NH Division, HPPWD Solan","Executive Engineer, NH Division, HPPWD Solan","87,800",No,fixed,,"Executive Engineer, NH Division, HPPWD Solan","Executive Engineer, NH Division, HPPWD Solan",PWD,7366-95,2021_PWD_45668_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Restoration of Pinjore Baddi Nalagarh Swarghat Road on NH 21 A (New NH 105) from km 35/00 to 66/275,Restoration of Kundlu Bridge at RD 48/918 with Gabion structure and floor mattress ) Job No. 2 (Against OR),Please refer Tender documents. ,NA ,,Civil Works - Bridges,NA ,Tender,120.0,180.0,nalagarh,174101.0,NA ,NA ,NA ,solan,No ,No,1.0,206002.0,rehana,INR,"3,866,386",Finance,Technical summary,Kulbir Singh Thakur,09-Apr-2021 05:34 PM,finance_68732.pdf,BOQ Comparative Chart,1.0,206051.0,lakhwinder thakur govt. contractor,25-Mar-2021 11:20 PM,Rejected-Finance,Being L2,09-Apr-2021,Technical,Technical Summary,Kulbir Singh Thakur,09-Apr-2021 03:55 PM,technical_68732.pdf,PWD,2021_PWD_45668_2,7366-95,Restoration of Pinjore Baddi Nalagarh Swarghat Road on NH 21 A (New NH 105) from km 35/00 to 66/275,Er Kulbir Singh Thakur EE,Internal,Miss Akrti Aggrawal AO Sh Ghanshyam Mehta HDM SH Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,09-Apr-2021 03:58 PM,09-Apr-2021 04:10 PM,techsummary_68732.pdf (509.24 KB),Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal AO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt samriti Verma TA,Kulbir Singh Thakur,09-Apr-2021 05:37 PM,finsummary_68732.pdf (248.16 KB),01-Jun-2021,"INR 3,866,386",180.0,Kulbir Singh Thakur,07-Aug-2023 04:02 PM,kundlujob2LOA.pdf (639.00 KB),LOA
,,.pdf,contractor registration,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,206002.0,rehana,25-Mar-2021 10:20 PM,Accepted-AOC,Being L1,07-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,sales tax/GST,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"list of machinery, tools and plants",4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,affidavit of correctness of all the documents,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,affidavit regarding both gazetted and non gazetted employees of HPPWD related to him,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,form of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,EPF Number as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
