Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",PWD,SD-III-CB-TENDER/21-22-14 dated 01-04-21,2021_PWD_46401_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"36,000",No,fixed,,Nil,Nil,Special Repair to Ellerslie main building at HP Sectt. Shimla. (SH- Renovation of General Toilet in Ellerslie main building etc.),Special Repair to Ellerslie main building at HP Sectt. Shimla. (SH- Renovation of General Toilet in Ellerslie main building etc.),As per bidding documents ,NA ,,Civil Works,NA ,Tender,60.0,90.0,Chotta Shimla,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,ICICI BANK,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),13-Apr-2021 05:00 PM,22-Apr-2021 11:00 AM,13-Apr-2021 05:00 PM,21-Apr-2021 05:00 PM,NA ,NA ,13-Apr-2021 05:00 PM,21-Apr-2021 05:00 PM,23-Apr-2021 04:30 PM,AOC,Finance,2021_PWD_46401_2,Ajay Kumar Soni,03-May-2021 02:51 PM,None,BOQ Comparative Chart,1.0,209120.0,Jibachh Goswami,INR,"2,059,521",1.0,209407.0,Aditya Jaiswal,21-Apr-2021 02:44 PM,Rejected-AOC,L2,19-Jun-2021 01:33 PM,Technical,Bid opening summary,Ajay Kumar Soni,23-Apr-2021 03:42 PM,technical_69766.pdf,ER.A.K.SONI,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Naresh Kumar,Ajay Kumar Soni,23-Apr-2021 04:28 PM,23-Apr-2021 04:30 PM,techsummary_69766.pdf (163.03 KB),PWD,2021_PWD_46401_2,SD-III-CB-TENDER/21-22-14 dated 01-04-21,Special Repair to Ellerslie main building at HP Sectt. Shimla. (SH- Renovation of General Toilet in Ellerslie main building etc.),18-Jun-2021,"INR 1,895,386",90.0,Parveen Kumar Verma,19-Jun-2021 01:33 PM,46401_2.pdf (445.00 KB),AOC,ER.A.K.SONI,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Naresh Kumar,Ajay Kumar Soni,03-May-2021 02:55 PM,finsummary_69766.pdf (99.44 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,AOC,,,,,,,,,,,,2.0,209398.0,Anil Jaswal,21-Apr-2021 12:54 PM,Rejected-Technical,ok,23-Apr-2021 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,AOC,,,,,,,,,,,,3.0,209120.0,Jibachh Goswami,21-Apr-2021 04:13 PM,Accepted-AOC,L1,19-Jun-2021 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,AOC,,,,,,,,,,,,4.0,209378.0,PIUSH VIJ,21-Apr-2021 10:47 AM,Rejected-AOC,L3,19-Jun-2021 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
