Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
07-Jun-2021,"INR 185,343",90.0,Lalit Katoch,07-Jun-2021 03:11 PM,financeevaluation.pdf (188.00 KB),Awarded after negotiation,Technical,BID OPENING SUMMARY,Lalit Katoch,03-May-2021 02:57 PM,technical_69710.pdf,Finance,Financial bide opening,Lalit Katoch,05-May-2021 08:18 PM,finance_69710.pdf,BOQ Comparative Chart,1.0,210405.0,Ajay Thakur,28-Apr-2021 09:11 PM,Rejected-Finance,Rejected being L3,07-Jun-2021 03:02 PM,Sanjay Kumar,Internal,E.O. and J.E.,Lalit Katoch,05-May-2021 02:56 PM,05-May-2021 04:15 PM,techsummary_69710.pdf (238.00 KB),1.0,209673.0,RAM BINDER SINGH,INR,"185,343",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2021_UDDHP_46359_1,1MC-NLG(9)2020-21-22,Providing CC interlocking pavements from Paramjeet house to Ranot tent house at Mehta colony w no 1 Nalagarh.,Sanjay kumar,Internal,"E.O., A.E. President",Lalit Katoch,07-Jun-2021 03:02 PM,finsummary_69710.pdf (188.07 KB),AOC,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(9)2020-21-22,2021_UDDHP_46359_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Providing CC interlocking pavements from Paramjeet house to Ranot tent house at Mehta colony w no 1 Nalagarh.,Providing CC interlocking pavements from Paramjeet house to Ranot tent house at Mehta colony w no 1 Nalagarh.,Please refer Tender documents. ,NA ,"2,03,425",Civil Works,NA ,Tender,90.0,90.0,NALAGARH,174101.0,NA ,NA ,NA ,MUNICIPAL COUNCIL NALAGARH,No ,No,EXECUTIVE OFFICER,MUNICIPAL COUNCIL NALAGARH,"4,100",No,fixed,,EXECUTIVE OFFICER,NALAGARH,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,500.0,EXECUTIVE OFFICER,NALAGARH,No,09-Apr-2021 02:00 PM,29-Apr-2021 03:00 PM,09-Apr-2021 02:00 PM,29-Apr-2021 10:30 AM,NA ,NA ,09-Apr-2021 02:00 PM,29-Apr-2021 10:30 AM,05-May-2021 04:15 PM,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,2.0,210192.0,gobind sahib enterprises,27-Apr-2021 03:11 PM,Rejected-Finance,Rejected being L2,07-Jun-2021 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,3.0,210381.0,Hardeep Singh Bedi,28-Apr-2021 07:22 PM,Rejected-Finance,Rejected being L4,07-Jun-2021 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4.0,210416.0,HARJOT SINGH CONTRACTOR,28-Apr-2021 11:09 PM,Rejected-Technical,Irresponsiv,05-May-2021 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5.0,210357.0,IRSHAD KHAN,28-Apr-2021 05:01 PM,Rejected-Technical,Irresponsiv,05-May-2021 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,6.0,210277.0,KRISHAN LAL,28-Apr-2021 12:07 PM,Rejected-Finance,Rejected being L5,07-Jun-2021 03:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,7.0,210320.0,mustak,28-Apr-2021 02:28 PM,Rejected-Technical,Irresponsiv,05-May-2021 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,8.0,209673.0,RAM BINDER SINGH,27-Apr-2021 03:19 PM,Accepted-AOC,Accepted being L1,07-Jun-2021 03:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
