Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Finance,Technical Bid Evaluation Summary,Manoj Kumar Sehgal,17-Apr-2021 02:26 PM,finance_69329.pdf,BOQ Comparative Chart,1.0,207920.0,Om Prakash Mehta,INR,"13,867,126.6",Technical,Bid Opening Summary,Manoj Kumar Sehgal,16-Apr-2021 12:54 PM,technical_69329.pdf,1.0,207920.0,Om Prakash Mehta,13-Apr-2021 11:17 AM,Accepted-AOC,AOC,22-Jun-2021 10:52 AM,Er. Manoj Sehgal,Internal,"XEN,SUPDT, HDM",Manoj Kumar Sehgal,21-May-2021 11:17 AM,finsummary_69329.pdf (545.41 KB),15-Jun-2021,"INR 13,867,126.6",180.0,Manoj Kumar Sehgal,22-Jun-2021 10:52 AM,o.pdf (319.00 KB),PWD,2021_PWD_46093_1,PW-KMS-AB-NIT/2020-21-14779-82 dt 26.03.2021,A/S on Narkanda Thanedhar Kotgarh Bithal road SH-Renewal coat 30 mm thick Bituminous Concrete in Km. 0/000 to 5/000 12/000 to 14/000 18/000 to 19/000 and 22/000 to 24/000,Er. Manoj Sehgal,Internal,"XEN, Supdt. Gr-II, HDM",Manoj Kumar Sehgal,17-Apr-2021 01:34 PM,17-Apr-2021 02:00 PM,techsummary_69329.pdf (545.41 KB),AOC,PWD,PW-KMS-AB-NIT/2020-21-14779-82 dt 26.03.2021,2021_PWD_46093_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Kumarsain Division HPPWD Kumarsain,"5,000",Nil,Nil,No,A/S on Narkanda Thanedhar Kotgarh Bithal road SH-Renewal coat 30 mm thick Bituminous Concrete in Km. 0/000 to 5/000 12/000 to 14/000 18/000 to 19/000 and 22/000 to 24/000,A/S on Narkanda Thanedhar Kotgarh Bithal road SH-Renewal coat 30 mm thick Bituminous Concrete in Km. 0/000 to 5/000 12/000 to 14/000 18/000 to 19/000 and 22/000 to 24/000,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,180.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR number of payment made against cost of tender form.,05-Apr-2021 05:00 PM,16-Apr-2021 11:00 AM,05-Apr-2021 05:30 PM,13-Apr-2021 06:00 PM,NA ,NA ,05-Apr-2021 05:30 PM,13-Apr-2021 06:00 PM,17-Apr-2021 02:00 PM,"1,50,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2.0,208023.0,Pawan Sood,13-Apr-2021 01:21 PM,Rejected-Finance,REJECT DUE TO 2ND LOWEST BIDDER,21-May-2021 11:17 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of UTR number of payment made against earnest money,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand Certificate (Gen Rule No 19, Min Amt Work done shown in Schedule F)",,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of Machinery, Tool, Plant with documentary proof of ownership as per schedule F of SBD.",,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for Last Five Years alongwith balance sheet (Refer Schedule D),,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,AOC
