Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
28-Jun-2021,"INR 334,993",90.0,Naresh Dhiman,28-Jun-2021 02:21 PM,Ravinder.pdf (165.00 KB),AOC,Finance,summary,Naresh Dhiman,12-May-2021 06:07 PM,finance_70500.pdf,BOQ Comparative Chart,Technical,Summary,Naresh Dhiman,12-May-2021 04:59 PM,technical_70500.pdf,--,Internal,--,Naresh Dhiman,12-May-2021 05:01 PM,12-May-2021 05:05 PM,techsummary_70500.pdf (22.89 KB),1,211955,HARDYAL SINGH GOVT. CONTRACTOR,11-May-2021 03:23 PM,Rejected-AOC,Not Found L-1,28-Jun-2021 02:21 PM,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2021_HPIPH_46927_1,No. IDU-I/TA/E-tender/21-672-701 dt 26-4-21,"Providing CAD to LIS Chhetran Bidherwal under Haroli Constituency, Distt Una (HP) SH Laying, jointing and testing of HDPE pipe for Improvement of distribution system of Scheme (Under HIMCAD).",1.0,211994.0,Ravinder Kumar Sahore,INR,"334,993",AOC,Internal,AOC,Naresh Dhiman,28-Jun-2021 02:18 PM,finsummary_70500.pdf (164.56 KB),AOC,"10,922",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,1.0,Corrigendum for withdrawn for conditions No.5 (ix),Other,,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. IDU-I/TA/E-tender/21-672-701 dt 26-4-21,2021_HPIPH_46927_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,27-Apr-2021 03:00 PM,12-May-2021 11:00 AM,27-Apr-2021 03:00 PM,11-May-2021 05:00 PM,27-Apr-2021 03:00 PM ,11-May-2021 05:00 PM ,27-Apr-2021 03:00 PM,11-May-2021 05:00 PM,12-May-2021 05:05 PM,"Providing CAD to LIS Chhetran Bidherwal under Haroli Constituency, Distt Una (HP) SH Laying, jointing and testing of HDPE pipe for Improvement of distribution system of Scheme (Under HIMCAD).","Providing CAD to LIS Chhetran Bidherwal under Haroli Constituency, Distt Una (HP) SH Laying, jointing and testing of HDPE pipe for Improvement of distribution system of Scheme (Under HIMCAD).",as per NIT ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Chhetran Bidherwal Haroli Consty,174301.0,NA ,NA ,NA ,Una HP,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,250.0,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2,211488,Harvinder Singh Maan,06-May-2021 06:50 PM,Rejected-AOC,Not Found L-1,28-Jun-2021 02:21 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of tender form (online/ offline mode),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3,212043,Kapil Rana,11-May-2021 12:57 PM,Rejected-AOC,Not Found L-1,28-Jun-2021 02:21 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (online/ offline mode),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4,211792,NARINDER KUMAR GOVT CONTRACTOR,10-May-2021 11:34 AM,Rejected-AOC,Not Found L-1,28-Jun-2021 02:21 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST number along with latest copy of GST return file,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5,211420,Om Parkash Govt Contrator,06-May-2021 02:57 PM,Rejected-AOC,Not Found L-1,28-Jun-2021 02:21 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,6,211994,Ravinder Kumar Sahore,11-May-2021 11:00 AM,Accepted-AOC,L-1,28-Jun-2021 02:21 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate and undertaking regarding he has executed work two or more work under divn,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,7,212086,Satish Kumar,11-May-2021 03:20 PM,Rejected-AOC,Not Found L-1,28-Jun-2021 02:21 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,8,212056,SG Engineers and Consultants,11-May-2021 01:29 PM,Rejected-AOC,Not Found L-1,28-Jun-2021 02:21 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,9,211924,Suresh Kumar,11-May-2021 08:58 AM,Rejected-AOC,Not Found L-1,28-Jun-2021 02:21 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,10,211966,Sushant Puri,11-May-2021 02:25 PM,Rejected-AOC,Not Found L-1,28-Jun-2021 02:21 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
