Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,1MC-NLG(9)2020-21-25,2021_UDDHP_46381_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,09-Apr-2021 02:00 PM,29-Apr-2021 03:00 PM,09-Apr-2021 02:00 PM,29-Apr-2021 10:30 AM,NA ,NA ,09-Apr-2021 02:00 PM,29-Apr-2021 10:30 AM,05-May-2021 04:15 PM,1.0,DD - Demand Draft,Development of park beside Municipal Office at Nalagarh.,Development of park beside Municipal Office at Nalagarh.,Please refer Tender documents. ,NA ,"6,35,824",Civil Works,NA ,Tender,90.0,90.0,NALAGARH,174101.0,NA ,NA ,NA ,MC NALAGARH,No ,No,500.0,EXECUTIVE OFFICER,NALAGARH,No,"13,000",No,fixed,,EXECUTIVE OFFICER,NALAGARH,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,EXECUTIVE OFFICER,MUNICIPAL COUNCIL NALAGARH DISTT. SOLAN HP,AOC,Sanjay Kumar,Internal,"E O , J E",Lalit Katoch,05-May-2021 02:41 PM,05-May-2021 04:15 PM,techsummary_69734.pdf (200.24 KB),1.0,210398.0,Ajay Thakur,28-Apr-2021 08:26 PM,Accepted-AOC,Accepted,08-Jun-2021 12:42 PM,08-Jun-2021,"INR 868,971.35",90.0,Lalit Katoch,08-Jun-2021 12:42 PM,apc22.pdf (437.00 KB),work awarded,Finance,Financial bide opening,Lalit Katoch,05-May-2021 08:20 PM,finance_69734.pdf,BOQ Comparative Chart,Technical,BID OPENING SUMMARY,Lalit Katoch,03-May-2021 03:07 PM,technical_69734.pdf,Sanjay Kumar,Internal,"President, E.O., A.E.",Lalit Katoch,08-Jun-2021 12:39 PM,finsummary_69734.pdf (178.95 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Nalagarh - UDDHP,2021_UDDHP_46381_1,1MC-NLG(9)2020-21-25,Development of park beside Municipal Office at Nalagarh.,1.0,210398.0,Ajay Thakur,INR,"868,971.35",AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,AOC,,,,,,,,2.0,210356.0,Hardeep Singh Bedi,28-Apr-2021 05:37 PM,Rejected-Finance,Rejected being L4,08-Jun-2021 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,AOC,,,,,,,,3.0,210241.0,IMRAN KHAN,27-Apr-2021 07:28 PM,Rejected-Finance,Rejected being L2,08-Jun-2021 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,AOC,,,,,,,,4.0,210330.0,keshav sharma,28-Apr-2021 08:54 PM,Rejected-Finance,Rejected being L3,08-Jun-2021 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
