S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1.1,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,210568.0,lakhwinder thakur govt. contractor,INR,"4,114,875",Finance,Financial Summary,Kulbir Singh Thakur,10-May-2021 01:00 PM,finance_70289.pdf,BOQ Comparative Chart,Technical,technical summary,Kulbir Singh Thakur,07-May-2021 03:42 PM,technical_70289.pdf,1.0,210568.0,lakhwinder thakur govt. contractor,30-Apr-2021 05:31 AM,Accepted-AOC,being L1,18-Aug-2023,30-Jun-2021,"INR 4,114,875",180.0,Kulbir Singh Thakur,18-Aug-2023 04:35 PM,LOAag9of20212022.pdf (466.00 KB),LOA,Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal AO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,10-May-2021 01:07 PM,finsummary_70289.pdf (279.86 KB),Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal AO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,07-May-2021 03:48 PM,07-May-2021 03:55 PM,techsummary_70289.pdf (677.59 KB),PWD,2021_PWD_46781_1,221-252 DATED 19.04.2021,O/R on Pinjore Baddi Nalagarh Swarghat Road NH 21 A (new ( NH 105) from km 35/00 to 66/27,PWD,221-252 DATED 19.04.2021,2021_PWD_46781_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"2,000",Executive Engineer NH Division HPPWD Solan,Solan,No,O/R on Pinjore Baddi Nalagarh Swarghat Road NH 21 A (new ( NH 105) from km 35/00 to 66/27,Protection work to Mahdev IV Bridge at RD 44/435 with Gabion Structure with Mattress,As per tender document ,NA ,,Civil Works - Bridges,NA ,Tender,120.0,180.0,Nalagarh,174101.0,NA ,NA ,NA ,Solan,No ,No,"1,12,500",Yes,fixed,,Executive Engineer NH Division HPPWD Solan,Solan,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money,22-Apr-2021 05:00 PM,30-Apr-2021 11:00 AM,22-Apr-2021 05:00 PM,30-Apr-2021 10:30 AM,NA ,NA ,22-Apr-2021 05:00 PM,30-Apr-2021 10:30 AM,07-May-2021 03:55 PM
,,,,,,,,,,,,,,,,2.0,210575.0,moin,29-Apr-2021 10:27 PM,Rejected-Finance,Being L4,10-May-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Contractor registration,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,210577.0,rehana,29-Apr-2021 10:02 PM,Rejected-Finance,Being L3,10-May-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,209887.0,shubham govt.contractor,30-Apr-2021 09:52 AM,Rejected-Finance,being L2,10-May-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST / Sales Tax number,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Self attested undertaking to provide machinery as required on site/List of machinery, tool and plant",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness of all the documents,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding both gazetted and non-gazetted employees in HPPWD related to him,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of CA showing total annual volume in last five years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working programme,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity (BOQ),,,,,,,,,
