S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"21,550",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,PWD,PWD-Civil-15837-66-Tanda,2021_PWD_45601_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,Annual repair and maintenance of various roads under HP PWD Sub-Division Nagrota Bagwan in Distt. Kangra (H.P.) (SH-Providing and laying patch work.),Annual repair and maintenance of various roads under HP PWD Sub-Division Nagrota Bagwan in Distt. Kangra (H.P.) (SH-Providing and laying patch work.),Please refer Tender documents. ,NA ,"10,77,536",Civil Works - Roads,NA ,Tender,120.0,60.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer MC Division HPPWD Tanda,No ,No,Executive Engineer,Executive Engineer MC Division HPPWD Tanda,16-Mar-2021 01:00 PM,27-Mar-2021 11:30 AM,16-Mar-2021 01:00 PM,26-Mar-2021 05:00 PM,NA ,NA ,16-Mar-2021 01:00 PM,26-Mar-2021 05:00 PM,08-Apr-2021 03:00 PM,AOC,PWD,2021_PWD_45601_3,PWD-Civil-15837-66-Tanda,Annual repair and maintenance of various roads under HP PWD Sub-Division Nagrota Bagwan in Distt. Kangra (H.P.) (SH-Providing and laying patch work.),Dr Suresh Kumar walia,Internal,Er Surinder Kumar AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,06-Apr-2021 11:59 AM,08-Apr-2021 03:00 PM,techsummary_68616.pdf (611.56 KB),Dr Suresh Kumar walia,Internal,Er Surinder AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,17-Apr-2021 03:04 PM,finsummary_68616.pdf (191.22 KB),03-Jun-2021,"INR 1,359,000",60.0,Suresh Kumar Walia,14-Jun-2021 02:01 PM,Award0.pdf (199.00 KB),Award,1.0,205779.0,Bhag Singh,26-Mar-2021 12:42 PM,Rejected-Technical,Not Fulfill Criteria,06-Apr-2021 11:59 AM,Technical,Sum,Suresh Kumar Walia,06-Apr-2021 11:54 AM,technical_68616.pdf,1.0,205589.0,Ujjawal Singh,INR,"1,359,000",Finance,Sum,Suresh Kumar Walia,17-Apr-2021 03:01 PM,finance_68616.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,204754.0,Rahul,22-Mar-2021 10:23 PM,Rejected-Finance,Lowest 2,17-Apr-2021 03:04 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,205797.0,RANJNA DEVI,25-Mar-2021 02:59 PM,Rejected-Finance,Lowest 3,17-Apr-2021 03:04 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,205589.0,Ujjawal Singh,26-Mar-2021 04:07 PM,Accepted-AOC,Award,14-Jun-2021 02:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,205864.0,VP SHARMA,25-Mar-2021 01:08 PM,Rejected-Finance,Lowest 4,17-Apr-2021 03:04 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Work done Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Detail of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Affidavit regarding nearrelative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Under taking no arbitration/litigation with PWD in pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
