S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,211697.0,Vijay Sharma Contractor,INR,"422,848","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2021_HPIPH_46932_1,No. IDU-1/TA/ E-tender/21- 672-701 dt 26-4-21,"Providing CAD to LIS 108 at Samnal, 106 at Sainsowal and Haroli under Haroli Constituency, Distt Una (HP) SH Laying, jointing and testing of HDPE pipe inplace of existing damaged/chocked RCC pipe for Improvement of distribution system of LIS 108",AOC,Internal,AOC,Naresh Dhiman,25-Jun-2021 05:28 PM,finsummary_70504.pdf (163.48 KB),1,211882,Dinesh Kumar,10-May-2021 02:59 PM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,---,Internal,--,Naresh Dhiman,12-May-2021 05:25 PM,12-May-2021 05:30 PM,techsummary_70504.pdf (22.89 KB),Technical,summary,Naresh Dhiman,12-May-2021 05:23 PM,technical_70504.pdf,Finance,summary,Naresh Dhiman,18-May-2021 02:49 PM,finance_70504.pdf,BOQ Comparative Chart,25-Jun-2021,"INR 422,848",90.0,Naresh Dhiman,25-Jun-2021 05:31 PM,Vijay.pdf (163.00 KB),AOC,AOC,1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,1.0,ICICI BANK,27-Apr-2021 03:00 PM,12-May-2021 11:00 AM,27-Apr-2021 03:00 PM,11-May-2021 05:00 PM,27-Apr-2021 03:00 PM ,11-May-2021 05:00 PM ,27-Apr-2021 03:00 PM,11-May-2021 05:00 PM,12-May-2021 05:30 PM,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. IDU-1/TA/ E-tender/21- 672-701 dt 26-4-21,2021_HPIPH_46932_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Corrigendum for withdrawn of conditions No.5 ( ix),Other,,250.0,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,"13,878",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,"Providing CAD to LIS 108 at Samnal, 106 at Sainsowal and Haroli under Haroli Constituency, Distt Una (HP) SH Laying, jointing and testing of HDPE pipe inplace of existing damaged/chocked RCC pipe for Improvement of distribution system of LIS 108","Providing CAD to LIS 108 at Samnal, 106 at Sainsowal and Haroli under Haroli Constituency, Distt Una (HP) SH Laying, jointing and testing of HDPE pipe inplace of existing damaged/chocked RCC pipe for Improvement of distribution system of LIS 108",as per NIT ,NA ,,Civil Works,NA ,Tender,120.0,90.0,LIS 108 Samnal and 106 at Sainsowal Haroli Consty,174301.0,NA ,NA ,NA ,Una HP,No ,No,AOC
,,,,,,,,,,,,,,,2,211953,HARDYAL SINGH GOVT. CONTRACTOR,11-May-2021 03:21 PM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of tender form (online/ offline mode),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,212042,Kapil Rana,11-May-2021 12:58 PM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,211906,Kuldeep Kumar,11-May-2021 11:27 AM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of GST number along with latest copy of GST return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,211887,Lalit Joshi,11-May-2021 04:30 PM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,211933,MAHESH ANGRA,11-May-2021 02:40 PM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,work done certificate and undertaking regarding he has executed work two or more work under divn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,211425,Om Parkash Govt Contrator,06-May-2021 02:59 PM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,211989,Ravinder Kumar Sahore,11-May-2021 10:45 AM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,212079,sachin ohri govt contractor,11-May-2021 02:33 PM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,211964,SG Engineers and Consultants,11-May-2021 01:03 PM,Rejected-AOC,Not L-1,25-Jun-2021 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
