Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Bid opening summary,Naveen Singh Kaundal,09-Jan-2021 12:25 PM,finance_63024.pdf,BOQ Comparative Chart,1.0,189598.0,Mukesh Kumar,INR,"5,116,878",Technical,Bid Opening Summary,Naveen Singh Kaundal,04-Dec-2020 05:24 PM,technical_63024.pdf,1.0,Tender Revocation,Inadvertently all bidder has been selected responsive in financial evaluation instead of L1 bidder so that online FDR payment did not transferred in other bidders account therefore the tender has been revoked and re-evaluate.,06-Jan-2021 12:00 PM,AHCkandharghatRevocation.pdf ,1500.68,Financial Opening,1.0,189611.0,Ankit Sharma,27-Nov-2020 03:30 PM,Rejected-Finance,L3 Bidder,09-Jan-2021 12:53 PM,03-Jun-2021,"INR 4,407,066",270.0,Naveen Singh Kaundal,03-Jun-2021 04:19 PM,AHC-KandharghatAOC.pdf (1223.00 KB),AOC,Er Sudhir Kumar Gupta EE,Internal,ShPremRajMeenDAO ShRamSawaroopSupdt ShSureshKumarVermaHDM,Naveen Singh Kaundal,09-Jan-2021 12:49 PM,finsummary_63024.pdf (510.32 KB),Er Sudhir Kumar Gupta EE,Internal,ShPremRajMeenDAO ShRamSawaroopSupdt ShSureshKumarVermaHDM,Naveen Singh Kaundal,07-Dec-2020 01:09 PM,09-Dec-2020 12:30 PM,techsummary_63024.pdf (469.84 KB),PWD,2020_PWD_42533_1,PW.SRDD-CB-CTR-2020-21 12151 DT 30.10.2020,Construction of Ayurvedic Health Centre at Kadharghat Tehsil Suni Distt. Shimla H.P.,AOC,1.0,ICICI BANK,PWD,PW.SRDD-CB-CTR-2020-21 12151 DT 30.10.2020,2020_PWD_42533_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Ayurvedic Health Centre at Kadharghat Tehsil Suni Distt. Shimla H.P.,"SH Construction of Building portion,Providing and fixing Water Supply and Sanitary installation,Construction of septic Tank, Rain Harvesting Tank and Site Development etc",Please refer Tender documents. ,NA ,"44,07,066",Civil Works - Buildings,NA ,Tender,120.0,270.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,EE Dhami,SHIMLA RURAL DIVISION HPPWD DHAMI,17-Nov-2020 05:00 PM,28-Nov-2020 11:00 AM,17-Nov-2020 05:00 PM,27-Nov-2020 05:00 PM,NA ,NA ,17-Nov-2020 05:00 PM,27-Nov-2020 05:00 PM,09-Dec-2020 12:30 PM,"74,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"2,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,189657.0,KISHOR KUMAR GOVT CONT,27-Nov-2020 04:53 PM,Rejected-Finance,L5 Bidder,09-Jan-2021 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3.0,189598.0,Mukesh Kumar,27-Nov-2020 04:05 PM,Accepted-AOC,L1 Bidder,03-Jun-2021 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,4.0,189634.0,NIPUN CHAUHAN ASSOCIATES,27-Nov-2020 03:59 PM,Rejected-Finance,L4 Bidder,09-Jan-2021 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,5.0,189633.0,Vijay Sharma,27-Nov-2020 03:45 PM,Rejected-Finance,L2 Bidder,09-Jan-2021 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per General Rule 19,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,AOC
