Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Executive Engineer,Executive Engineer HP PWD Division Jaisinghpur,PWD,Periodic Maintenance of KHAIRA BUHLA - PARAGE DA G,2021_PWD_46258_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Periodic Maintenance of KHAIRA BUHLA - PARAGE DA GALU DRRP No. HP0402VR000319117 (Under AMP 2021-22 PMGSY ROADS),"Providing and laying 30 mm thick Bituminous concrete laying with paver finisher, road marking strips of hot applied thermoplastic compound (Painting line) and V-Shape drain between Km Km 16/00 to 17/00",Please refer Tender documents. ,NA ,"9,38,516",Civil Works - Roads,NA ,Tender,120.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,350.0,Nil,Nil,No,06-Apr-2021 05:00 PM,16-Apr-2021 11:30 AM,06-Apr-2021 05:00 PM,15-Apr-2021 05:00 PM,NA ,NA ,06-Apr-2021 05:00 PM,15-Apr-2021 05:00 PM,18-May-2021 11:30 AM,"18,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,PWD,2021_PWD_46258_1,Periodic Maintenance of KHAIRA BUHLA - PARAGE DA G,Periodic Maintenance of KHAIRA BUHLA - PARAGE DA GALU DRRP No. HP0402VR000319117 (Under AMP 2021-22 PMGSY ROADS),Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,17-May-2021 04:13 PM,18-May-2021 11:30 AM,techsummary_69565.pdf (270.21 KB),Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,27-May-2021 04:54 PM,finsummary_69565.pdf (215.77 KB),16-Jun-2021,"INR 938,516",60.0,R.K Dhiman,16-Jun-2021 02:37 PM,Award.pdf (519.00 KB),Award,1.0,208564.0,G.P.ACHARYA,15-Apr-2021 09:50 AM,Rejected-AOC,Rejected due to higher rates bidder L2,16-Jun-2021 02:37 PM,Technical,Summary,R.K Dhiman,17-May-2021 04:11 PM,technical_69565.pdf,1.0,208453.0,VINOD KUMAR,INR,"1,298,601.9",Finance,Summary,R.K Dhiman,27-May-2021 04:47 PM,finance_69565.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,208670.0,SONI THAKUR,15-Apr-2021 04:38 PM,Rejected-Technical,Non Responsive,17-May-2021 04:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail / work in hand in last five year,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,208453.0,VINOD KUMAR,14-Apr-2021 09:54 AM,Accepted-AOC,Accepted due to lowest rates bidder L1,16-Jun-2021 02:37 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
