Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
EE HPPWD Sarahan,EE HPPWD Sarahan,"2,000",Nil,Nil,No,"Construction of Residential Accommodation for PWD staff at Sarahan (SH - C/O Executive Engineer residence Type-V, Quarters including water supply and sanitary installation, site development, C/o Septic tank, Rain water harvesting tank, Soak Pit a","Construction of Residential Accommodation for PWD staff at Sarahan (SH- C/O Executive Engineer residence Type-V, Quarters including water supply and sanitary installation, site development, C/o Septic tank, Rain water harvesting tank, Soak Pit a",Please refer Tender documents. ,NA ,"86,53,399",Civil Works - Roads,NA ,Tender,75.0,366.0,Sarahan,173027.0,NA ,NA ,NA ,EE.HPPWD SARAHAN,No ,No,"1,20,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,PWD,PW/SRN/CB/Tender/-9789-9819 dt 28/02/2024,2024_PWD_87636_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,01-Mar-2024 06:55 PM,13-Mar-2024 11:30 AM,02-Mar-2024 11:30 AM,13-Mar-2024 10:30 AM,NA ,NA ,02-Mar-2024 12:20 PM,13-Mar-2024 10:30 AM,16-Mar-2024 11:00 AM,1.0,414680.0,suman kumar sharma,INR,"7,317,298",Finance,BID,Daleep Singh Kaundal,21-Mar-2024 12:30 PM,finance_130172.pdf,BOQ Comparative Chart,1.0,417183.0,akash,12-Mar-2024 05:57 PM,Rejected-Finance,L2,21-Mar-2024,Technical,BID,Daleep Singh Kaundal,14-Mar-2024 04:03 PM,technical_130172.pdf,Er Daleep Singh Kaundal,Internal,"Sh Satish Sharma DAO, Sh Padam Bahadur Supdt.GR-II, Kishan Singh DM",Daleep Singh Kaundal,14-Mar-2024 04:21 PM,16-Mar-2024 11:00 AM,techsummary_130172.pdf (141.26 KB),PWD,2024_PWD_87636_1,PW/SRN/CB/Tender/-9789-9819 dt 28/02/2024,"Construction of Residential Accommodation for PWD staff at Sarahan (SH - C/O Executive Engineer residence Type-V, Quarters including water supply and sanitary installation, site development, C/o Septic tank, Rain water harvesting tank, Soak Pit a",21-Mar-2024,"INR 7,317,298",366.0,Daleep Singh Kaundal,21-Mar-2024 12:40 PM,AOCSUMAN.PDF (183.00 KB),AOC,Er Daleep Singh Kaundal,Internal,"Sh Satish Sharma DAO, Sh Padam Bahadur Supdt.GR-II, Kishan Singh DM",Daleep Singh Kaundal,21-Mar-2024 12:35 PM,finsummary_130172.pdf (90.17 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration in appropriate class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,415949.0,BHARAT SINGH CHAUHAN,13-Mar-2024 10:24 AM,Rejected-Technical,Not fulfill the qualifying criteria,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,414680.0,suman kumar sharma,12-Mar-2024 04:57 PM,Accepted-AOC,AOC,21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"The contractor is required to study General Rules Direction, conditions prior to bidding process.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,416903.0,Vicky Kumar,12-Mar-2024 11:08 PM,Rejected-Technical,Not fulfill the qualifying criteria,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Afresh Undertaking regarding uploaded documents are true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover attached 26 AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done during last five years (Building work) not less than 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding capacity as per clause 26.2(a) General Rules and directions of GCC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand as per performa Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
