Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name
EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,16-Aug-2022 03:58 PM,finsummary_93514.pdf (533.86 KB),11-Mar-2024,"INR 3,827,517",365.0,Deepak Kapil,11-Mar-2024 06:10 PM,61967TypeIINadaun.pdf (2254.00 KB),Award,PWD,2022_PWD_61967_1,Degree College Bharmoti at Nadaun,Construction of Govt Degree College Bharmoti at Nadaun Distt Hamirpur HP,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,07-Jul-2022 05:32 PM,08-Jul-2022 04:30 PM,techsummary_93514.pdf (946.17 KB),Technical,Attached,Sanjay Katoch,07-Jul-2022 05:05 PM,technical_93514.pdf,1.0,288832.0,AMAN SHARMA GOVT.CONTRACTOR,27-Jun-2022 10:57 PM,Rejected-Finance,l2,16-Aug-2022,Finance,Attached,Sanjay Katoch,16-Aug-2022 03:54 PM,finance_93514.pdf,BOQ Comparative Chart,1.0,288646.0,SANJAY KUMAR GOVT CONTRACTOR,INR,"3,881,702.55",1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"63,600",No,fixed,,Nil,Nil,PWD,Degree College Bharmoti at Nadaun,2022_PWD_61967_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,22-Jun-2022 06:00 PM,28-Jun-2022 11:00 AM,22-Jun-2022 06:00 PM,28-Jun-2022 10:30 AM,NA ,NA ,22-Jun-2022 06:00 PM,28-Jun-2022 10:30 AM,08-Jul-2022 04:30 PM,"1,000",Nil,Nil,No,Construction of Govt Degree College Bharmoti at Nadaun Distt Hamirpur HP,Construction of Building Portion Providing water supply and sanitary installation 2 Nos Type-II Qtrs,Please refer Tender documents. ,NA ,"37,36,363",Civil Works - Buildings,NA ,Tender,60.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,288646.0,SANJAY KUMAR GOVT CONTRACTOR,27-Jun-2022 11:26 AM,Accepted-AOC,l1,11-Mar-2024,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
