EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"52,400",No,fixed,,Nil,Nil,1.0,Corrigendum,Date,,"1,000",Nil,Nil,No,Annual Maintenance Plan for the Year 2024-25 for Rural roads under HPPWD Sub Div. Hamirpur on Link road Maniana to Kothi VR003010102 KM 4/00 to 7/00,SH Providing and laying 25mm thick Bituminous concrete,Please refer Tender documents. ,NA ,"29,92,686",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,PWD,AMP Sub Div. Hamirpur on Link road Maniana to Kothi,2024_PWD_85026_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,03-Feb-2024 09:00 AM,13-Feb-2024 11:00 AM,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,NA ,NA ,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,22-Feb-2024 11:00 AM,EE Hamirpur,Executive Engineer HPPWD Hamirpur,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,21-Feb-2024 06:24 PM,22-Feb-2024 11:00 AM,techsummary_126513.pdf (1055.55 KB),PWD,2024_PWD_85026_1,AMP Sub Div. Hamirpur on Link road Maniana to Kothi,Annual Maintenance Plan for the Year 2024-25 for Rural roads under HPPWD Sub Div. Hamirpur on Link road Maniana to Kothi VR003010102 KM 4/00 to 7/00,11-Mar-2024,"INR 2,672,463",30.0,Deepak Kapil,11-Mar-2024 01:27 PM,1234.pdf (88.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,27-Feb-2024 05:21 PM,finsummary_126513.pdf (668.70 KB),1.0,404721.0,asha sharma,INR,"3,114,765.6",Finance,Attached,Deepak Kapil,27-Feb-2024 05:06 PM,finance_126513.pdf,BOQ Comparative Chart,1.0,404721.0,asha sharma,13-Feb-2024 02:39 AM,Accepted-AOC,l1,11-Mar-2024,Technical,Attached,Deepak Kapil,21-Feb-2024 06:06 PM,technical_126513.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,404739.0,HIMALAYAN TECHNO GOVT CONTRACTOR,12-Feb-2024 03:35 PM,Rejected-Finance,l4,27-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,404887.0,MOHINDER PAL GOVT. CONTRACTOR,13-Feb-2024 09:38 AM,Rejected-Finance,l3,27-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,404797.0,MSC Roads and Bridges Private Limited,12-Feb-2024 03:15 PM,Rejected-Finance,l2,27-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,404722.0,Rajinder Rana,12-Feb-2024 01:56 PM,Rejected-Finance,l5,27-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,and having NOC from HP State Pollution Control Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
