Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Bank Name
11-Mar-2024,"INR 3,114,765",30.0,Deepak Kapil,11-Mar-2024 01:44 PM,12345.pdf (81.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,11-Mar-2024 01:42 PM,finsummary_126510.pdf (38.75 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,21-Feb-2024 06:26 PM,22-Feb-2024 11:00 AM,techsummary_126510.pdf (1057.19 KB),PWD,2024_PWD_85023_1,AMP HPPWD Sub Div. Hamirpur on Link road Ghul road,Annual Maintenance Plan for the Year 2024-25 for Rural roads under HPPWD Sub Div. Hamirpur on Link road Ghul road (VR004710104 KM 3/00 to 6/500,Technical,Attached,Deepak Kapil,21-Feb-2024 06:05 PM,technical_126510.pdf,1.0,404728.0,asha sharma,13-Feb-2024 03:04 AM,Accepted-AOC,l1,11-Mar-2024,Finance,Attached,Deepak Kapil,11-Mar-2024 01:37 PM,finance_126510.pdf,BOQ Comparative Chart,1.0,404728.0,asha sharma,INR,"2,321,432.53",1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,PWD,AMP HPPWD Sub Div. Hamirpur on Link road Ghul road,2024_PWD_85023_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,Corrigendum,Date,,Annual Maintenance Plan for the Year 2024-25 for Rural roads under HPPWD Sub Div. Hamirpur on Link road Ghul road (VR004710104 KM 3/00 to 6/500,SH Providing and laying 25mm thick Bituminous concrete,Please refer Tender documents. ,NA ,"34,87,980",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"1,000",Nil,Nil,No,03-Feb-2024 09:00 AM,13-Feb-2024 11:00 AM,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,NA ,NA ,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,22-Feb-2024 11:00 AM,"59,900",No,fixed,,Nil,Nil,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,404472.0,HIMALAYAN TECHNO GOVT CONTRACTOR,11-Feb-2024 05:37 PM,Rejected-Finance,l4,11-Mar-2024,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,404863.0,MOHINDER PAL GOVT. CONTRACTOR,13-Feb-2024 09:35 AM,Rejected-Finance,l3,11-Mar-2024,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,404399.0,MSC Roads and Bridges Private Limited,11-Feb-2024 01:13 PM,Rejected-Finance,l2,11-Mar-2024,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,404505.0,Rajinder Rana,11-Feb-2024 06:49 PM,Rejected-Finance,l5,11-Mar-2024,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,of work and having NOC from HP State Pollution Control Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
