Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
08-Feb-2024 09:00 AM,14-Feb-2024 11:30 AM,08-Feb-2024 09:00 AM,14-Feb-2024 11:00 AM,NA ,NA ,08-Feb-2024 09:00 AM,14-Feb-2024 11:00 AM,15-Feb-2024 01:15 PM,1.0,ICICI BANK,"Annual maintenance plan for Dharamshala Dadh Palampur Holta Chadhiar Sandhol road DRRP No. HP0411MDR07812259,12231,12236","SH- Providing and Laying Tack coat, 25 mm thick Mix Seal surfacing including profile correction and applying 2.5 mm thick hot Thermoplastic road marking strips (Retro-Reflective) between Km 80/0 to 81/00, 82/00 to 83/00 and 87/00 to 87/600) (year 2",Please refer Tender documents. ,NA ,"36,15,781",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,"72,400",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,Executive Engineer,HPPWD Division Jaisinghpur,1.0,Fee/PreQual/Technical,.pdf,Valid registration copy,PWD,15001-15040 Dated 29.01.24,2024_PWD_85107_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,PWD,2024_PWD_85107_1,15001-15040 Dated 29.01.24,"Annual maintenance plan for Dharamshala Dadh Palampur Holta Chadhiar Sandhol road DRRP No. HP0411MDR07812259,12231,12236",Er. Vijay Kumar Verma,Internal,"Supdt. Gr-II, HDM and Divnl. Accountant of HPPWD Div Jaisinghpur",Vijay Kumar Verma,15-Feb-2024 01:07 PM,15-Feb-2024 01:15 PM,techsummary_126650.pdf (291.51 KB),Er. Vijay Kumar Verma,Internal,"Supdt. Gr-II, HDM and Accountant of HPPWD Division Jaisinghpur",Vijay Kumar Verma,02-Mar-2024 10:12 AM,finsummary_126650.pdf (291.51 KB),07-Mar-2024,"INR 3,355,066",60.0,Vijay Kumar Verma,21-Mar-2024 02:56 PM,851071DsalaDadh.pdf (702.00 KB),Shri Kulvinder Singh Rana,1.0,405477.0,G.P.ACHARYA,13-Feb-2024 06:41 PM,Rejected-Finance,l2,02-Mar-2024,Technical,As per document attached,Vijay Kumar Verma,15-Feb-2024 01:01 PM,technical_126650.pdf,1.0,404845.0,Kulvinder Singh Rana,INR,"3,355,066",Finance,Summary,Vijay Kumar Verma,01-Mar-2024 03:44 PM,finance_126650.pdf,BOQ Comparative Chart
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,404845.0,Kulvinder Singh Rana,12-Feb-2024 05:01 PM,Accepted-AOC,L1,21-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and staff including Hot Mix plant and its location for tarring work with proof i.e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted employees of HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of online deposit receipt for Tender form cost and EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
