EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"24,670",Yes,fixed,,Executive Engineer JS Division Sarkaghat,Executive Engineer JS Division Sarkaghat,400.0,Executive Engineer JS Division Sarkaghat,Executive Engineer JS Division Sarkaghat,No,Executive Engineer JS Division Sarkaghat,Executive Engineer JS Division Sarkaghat,1.0,ICICI BANK,29-Jan-2024 05:00 PM,09-Feb-2024 11:30 AM,29-Jan-2024 05:00 PM,08-Feb-2024 05:00 PM,NA ,NA ,29-Jan-2024 05:00 PM,08-Feb-2024 05:00 PM,14-Feb-2024 03:15 PM,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Sarkaghat,Irrigation and Public Health,HP",14948-15000 dated 29.01.2024,2024_HPIPH_84685_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Aug Improvement of LWSS Plassi BadahinNawani Katoh Alsogi Phase 1st and 2nd and Jamnoun Tarndol Bahnoo under JSV Sub Division Baldwara in Tehsil Baldwara distt Mandi HP,Laying Jointing and testing in trenches 65mm GI pipe line Node No 3 to 4 and 3 to 5 of LWSS J T Bahnoo Job No 7,Please refer Tender documents. ,NA ,"12,33,149",Civil Works,NA ,Tender,120.0,90.0,Sarkaghat,175024.0,NA ,NA ,NA ,Executive Engineer JS Division Sarkaghat,No ,No,1.0,Fee/PreQual/Technical,.pdf,"The Cost of Tender Fee in favour of Executive Engineer, Jal Shakti Division Sarkaghat, Both mode",02-Mar-2024,"INR 606,906",90.0,Vivek Hazri,02-Mar-2024 02:47 PM,AOCjai.pdf (1185.00 KB),AOC,Finance,Finance summary,Vivek Hazri,14-Feb-2024 03:59 PM,finance_125804.pdf,BOQ Comparative Chart,Technical,admitted,Vivek Hazri,14-Feb-2024 03:08 PM,technical_125804.pdf,Er Vivek Hazri EE,Internal,SuperintendentJSDSarkaghat HDM Sarkaghat,Vivek Hazri,14-Feb-2024 03:14 PM,14-Feb-2024 03:15 PM,techsummary_125804.pdf (338.55 KB),1,403554,ajay kumar sarmai,08-Feb-2024 12:22 PM,Rejected-Technical,Not fulfill the NIT requirement,14-Feb-2024,Er Vivek Hazri EE,Internal,Negotitation,Vivek Hazri,02-Mar-2024 02:43 PM,finsummary_125804.pdf (396.30 KB),"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Sarkaghat,Irrigation and Public Health,HP",2024_HPIPH_84685_1,14948-15000 dated 29.01.2024,Aug Improvement of LWSS Plassi BadahinNawani Katoh Alsogi Phase 1st and 2nd and Jamnoun Tarndol Bahnoo under JSV Sub Division Baldwara in Tehsil Baldwara distt Mandi HP,1.0,403236.0,Jai Singh Contractor and Suppliers,INR,"606,906"
,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"The earnest money in favour of Executive Engineer, Jal Shakti Division Sarkaghat, Both mode.",,,,,,,,,,,,,,,,,,,,,,,,,,2,402506,BITTU RAM,05-Feb-2024 09:32 AM,Rejected-Technical,Not Fulfill the NIT requirement,14-Feb-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with Jal Shakti Vibhag in appropriate class.,,,,,,,,,,,,,,,,,,,,,,,,,,3,403269,DHARAM PAL SHARMA,07-Feb-2024 02:53 PM,Rejected-Technical,Not fulfill the NIT requirement,14-Feb-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN , Income Tax, GST registration and EPF registration etc. as per NIT conditions",,,,,,,,,,,,,,,,,,,,,,,,,,4,403309,Gandhi Ram,07-Feb-2024 03:33 PM,Rejected-Technical,Not fulfill the NIT requirement,14-Feb-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking/ Joint venture is not allowed as per NIT conditions,,,,,,,,,,,,,,,,,,,,,,,,,,5,403545,Honorary Association for Various Activities,08-Feb-2024 02:54 PM,Rejected-AOC,Rejected,02-Mar-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate,,,,,,,,,,,,,,,,,,,,,,,,,,6,403236,Jai Singh Contractor and Suppliers,07-Feb-2024 01:33 PM,Accepted-AOC,L1,02-Mar-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,7,403325,Lalit Singh,08-Feb-2024 04:20 PM,Rejected-AOC,Rejected,02-Mar-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,403450,M/ Shiv Shakti Traders,08-Feb-2024 04:08 PM,Rejected-AOC,Rejected,02-Mar-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,403642,M/S Palsra Acchru Ram Filling Station (OPC) Pvt. Ltd.,08-Feb-2024 04:40 PM,Rejected-AOC,Rejected,02-Mar-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,403319,RAMA SHANKER,08-Feb-2024 04:55 PM,Rejected-Technical,Not fulfill the NIT requirement,14-Feb-2024,,,,,,,,,,,,,,,
