Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
590.0,Nil,Nil,No,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2023-24-7553-60 Dated 26-02-2024,2024_HPSEB_87614_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Corrigendum-2,Date,,02-Mar-2024 05:00 PM,16-Mar-2024 11:00 AM,02-Mar-2024 05:00 PM,15-Mar-2024 10:30 AM,NA ,NA ,02-Mar-2024 05:00 PM,15-Mar-2024 10:30 AM,16-Mar-2024 01:35 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog","23,824",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,Tender for providing poles for clearance on 33 KV Nagaan-Batalabehal Feeder from Kotlu to 2X3.15 MVA 33/22 KV S/Stn Batalabehal in Electrical Section Seri 1st under ESD HPSEBL Seri.,Tender for providing poles for clearance on 33 KV Nagaan-Batalabehal Feeder from Kotlu to 2X3.15 MVA 33/22 KV S/Stn Batalabehal in Electrical Section Seri 1st under ESD HPSEBL Seri.,Please refer tender document  ,NA ,"9,52,978",Supply and Erection,Electrical Work ,Tender,180.0,30.0,Seri,175011.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,16-Mar-2024 02:16 PM,finsummary_130149.pdf (431.18 KB),1.0,417277.0,JAGDISH KUMAR,INR,"853,378",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2024_HPSEB_87614_1,184619/DB/2023-24-7553-60 Dated 26-02-2024,Tender for providing poles for clearance on 33 KV Nagaan-Batalabehal Feeder from Kotlu to 2X3.15 MVA 33/22 KV S/Stn Batalabehal in Electrical Section Seri 1st under ESD HPSEBL Seri.,16-Mar-2024,"INR 952,978",30.0,Sushil Kumar,18-Mar-2024 10:13 AM,award_97.pdf (1769.00 KB),Awarded to M/S Jagdish Kumar (L-1) which found lowest,Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,16-Mar-2024 01:30 PM,technical_130149.pdf,Finance,Financial bid opened by tender committee.,Sushil Kumar,16-Mar-2024 02:07 PM,finance_130149.pdf,BOQ Comparative Chart,1.0,417277.0,JAGDISH KUMAR,13-Mar-2024 10:23 AM,Accepted-AOC,Awarded to M/S Jagdish Kumar (L-1) which found lowest,18-Mar-2024,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,16-Mar-2024 01:31 PM,16-Mar-2024 01:35 PM,techsummary_130149.pdf (445.97 KB)
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,414363.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,13-Mar-2024 10:15 AM,Rejected-Finance,L2,16-Mar-2024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,417649.0,M/s M.S Electrical and Engineering Works,14-Mar-2024 08:56 PM,Rejected-Finance,L3,16-Mar-2024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,417646.0,SATPAL,14-Mar-2024 08:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Mar-2024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non-blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
